Report Name : Application Performance,,,,,,,,
Name : Application Performance,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.89,,,
Down (%),,,,,0.11,,,
Name : Application Performance,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
ANPR Application ( http://172.16.0.28:8080/ANPR/Home ),HTTP/HTTPS URL,100,13 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,100,13 days 23 hours 56 minutes 16 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
VMD ( http://172.16.0.207/#/login ),HTTP/HTTPS URL,100,13 days 23 hours 56 minutes 7 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,99.97,13 days 23 hours 50 minutes 54 seconds ,0.03,,0 days 0 hours 6 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
EMS- APPLICATION ( http://172.16.0.50:8080/ ),HTTP/HTTPS URL,99.04,13 days 20 hours 46 minutes 27 seconds ,0.96,,0 days 3 hours 13 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,100,13 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,100,13 days 23 hours 55 minutes 46 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
ICCC-APPLICATION ( http://172.16.1.15:8090/XStudio/Login ),HTTP/HTTPS URL,99.6,13 days 22 hours 34 minutes 56 seconds ,0.4,,0 days 1 hours 20 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,100,13 days 23 hours 55 minutes 37 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,100,13 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,100,6 days 13 hours 9 minutes 35 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,100,13 days 23 hours 56 minutes 43 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
ATCS Application ( https://172.16.0.11/gui/html ),HTTP/HTTPS URL,99.95,13 days 23 hours 46 minutes 49 seconds ,0.05,,0 days 0 hours 10 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
