Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,97.95,,,
Down (%),,,,,2.05,,,
Name : IP PHONES,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.74,Ping,100,31 days 23 hours 55 minutes 48 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,99.99,31 days 23 hours 51 minutes 50 seconds ,0.01,,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,75.15,24 days 1 hours 3 minutes 40 seconds ,24.85,,7 days 22 hours 49 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,100,31 days 23 hours 52 minutes 15 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,99.99,31 days 23 hours 55 minutes 23 seconds ,0.01,,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,99.94,31 days 23 hours 32 minutes 20 seconds ,0.06,,0 days 0 hours 27 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,99.99,31 days 23 hours 51 minutes 19 seconds ,0.01,,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,99.98,31 days 23 hours 50 minutes 46 seconds ,0.02,,0 days 0 hours 9 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,100,31 days 23 hours 52 minutes 45 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,99.99,31 days 23 hours 55 minutes 23 seconds ,0.01,,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,100,31 days 23 hours 56 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,99.95,31 days 23 hours 32 minutes 54 seconds ,0.05,,0 days 0 hours 23 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
