Report Name : WORK STATION,,,,,,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.85,,,
Down (%),,,,,18.33,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-ICCC-OPERATORPC2 ( 172.16.5.12 ),Ping,65.34,20 days 21 hours 46 minutes 39 seconds ,34.66,,11 days 2 hours 10 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC1 ( 172.16.5.11 ),Ping,85.43,27 days 8 hours 6 minutes 8 seconds ,14.57,,4 days 15 hours 53 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC5 ( 172.16.5.15 ),Ping,97.27,31 days 3 hours 2 minutes 0 seconds ,2.73,,0 days 20 hours 57 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION1 ( 172.25.0.11 ),Ping,100,18 days 7 hours 34 minutes 35 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC13 ( 172.16.5.23 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 55 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC17 ( 172.16.5.27 ),Ping,100,31 days 23 hours 56 minutes 55 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC33 ( 172.16.5.43 ),Ping,100,26 days 7 hours 3 minutes 48 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC31 ( 172.16.5.31 ),Ping,22.68,7 days 6 hours 9 minutes 54 seconds ,77.32,,24 days 17 hours 45 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC30 ( 172.16.5.40 ),Ping,100,31 days 23 hours 55 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC10 ( 172.16.5.20 ),Ping,99.99,31 days 23 hours 55 minutes 23 seconds ,0.01,,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION4 ( 172.25.0.21 ),Ping,100,18 days 7 hours 35 minutes 35 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC4 ( 172.16.5.14 ),Ping,100,31 days 23 hours 56 minutes 26 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC24 ( 172.16.5.34 ),Ping,85,27 days 4 hours 44 minutes 26 seconds ,15,,4 days 19 hours 11 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-SIEM-PC ( 172.16.5.39 ),Ping,100,31 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC8 ( 172.16.5.18 ),Ping,9.9,3 days 4 hours 1 minutes 55 seconds ,90.1,,28 days 19 hours 58 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC11 ( 172.16.5.21 ),Ping,96.99,31 days 0 hours 49 minutes 32 seconds ,3.01,,0 days 23 hours 6 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC22 ( 172.16.5.32 ),Ping,99.76,31 days 22 hours 9 minutes 24 seconds ,0.24,,0 days 1 hours 50 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC23 ( 172.16.5.33 ),Ping,53.68,17 days 4 hours 13 minutes 19 seconds ,46.32,,14 days 19 hours 42 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION2 ( 172.25.0.12 ),Ping,100,18 days 7 hours 30 minutes 35 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC7 ( 172.16.5.17 ),Ping,20.15,6 days 10 hours 44 minutes 30 seconds ,79.85,,25 days 13 hours 12 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC16 ( 172.16.5.26 ),Ping,38.17,10 days 18 hours 46 minutes 40 seconds ,61.83,,17 days 11 hours 11 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC20 ( 172.16.5.30 ),Ping,99.63,31 days 21 hours 6 minutes 26 seconds ,0.37,,0 days 2 hours 50 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC9 ( 172.16.5.19 ),Ping,78.64,25 days 3 hours 50 minutes 58 seconds ,21.36,,6 days 20 hours 0 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC34 ( 172.16.5.44 ),Ping,17.83,5 days 16 hours 55 minutes 17 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
