Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,82.66,,,
Down (%),,,,,17.34,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,99.75,16 days 22 hours 55 minutes 16 seconds ,0.25,,0 days 1 hours 1 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,70.96,12 days 1 hours 27 minutes 55 seconds ,29.04,,4 days 22 hours 27 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,61.38,9 days 1 hours 53 minutes 28 seconds ,38.62,,5 days 17 hours 5 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,99.91,16 days 23 hours 37 minutes 57 seconds ,0.09,,0 days 0 hours 22 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55 ( 172.16.7.73 - 172.16.7.55 ),Ping,44.23,7 days 12 hours 25 minutes 38 seconds ,55.77,,9 days 11 hours 30 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,99.6,14 days 17 hours 34 minutes 1 seconds ,0.4,,0 days 1 hours 25 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,99.69,15 days 14 hours 59 minutes 39 seconds ,0.31,,0 days 1 hours 9 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,55.39,9 days 9 hours 59 minutes 28 seconds ,44.61,,7 days 14 hours 0 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,71.05,12 days 1 hours 49 minutes 57 seconds ,28.95,,4 days 22 hours 5 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,99.9,16 days 23 hours 31 minutes 58 seconds ,0.1,,0 days 0 hours 24 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,99.92,16 days 23 hours 36 minutes 31 seconds ,0.08,,0 days 0 hours 19 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,61.91,9 days 16 hours 49 minutes 31 seconds ,38.09,,5 days 23 hours 14 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,99.84,16 days 23 hours 20 minutes 49 seconds ,0.16,,0 days 0 hours 39 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,99.92,16 days 23 hours 36 minutes 31 seconds ,0.08,,0 days 0 hours 19 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,72.66,12 days 8 hours 23 minutes 45 seconds ,27.34,,4 days 15 hours 31 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,76.79,13 days 1 hours 14 minutes 43 seconds ,23.21,,3 days 22 hours 40 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,99.78,16 days 23 hours 1 minutes 56 seconds ,0.22,,0 days 0 hours 53 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,71.9,12 days 5 hours 17 minutes 36 seconds ,28.1,,4 days 18 hours 37 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,99.87,15 days 15 hours 34 minutes 55 seconds ,0.13,,0 days 0 hours 29 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,99.88,16 days 23 hours 27 minutes 35 seconds ,0.12,,0 days 0 hours 29 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,70.55,11 days 23 hours 47 minutes 53 seconds ,29.45,,5 days 0 hours 8 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,76.79,13 days 1 hours 15 minutes 52 seconds ,23.21,,3 days 22 hours 41 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,71.31,12 days 2 hours 53 minutes 12 seconds ,28.69,,4 days 21 hours 1 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
