Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.73,,,
Down (%),,,,,21.27,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,100,3 days 6 hours 6 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,63.11,18 days 22 hours 20 minutes 55 seconds ,36.89,,11 days 1 hours 34 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,50.99,15 days 7 hours 7 minutes 40 seconds ,49.01,,14 days 16 hours 52 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55 ( 172.16.7.73 - 172.16.7.55 ),Ping,58.32,1 days 21 hours 32 minutes 54 seconds ,41.68,,1 days 8 hours 33 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,97.16,29 days 3 hours 28 minutes 55 seconds ,2.84,,0 days 20 hours 26 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,100,29 days 23 hours 50 minutes 34 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,98.69,5 days 5 hours 49 minutes 56 seconds ,1.31,,0 days 1 hours 40 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,47.89,10 days 4 hours 56 minutes 42 seconds ,52.11,,11 days 2 hours 31 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,100,5 days 7 hours 36 minutes 36 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,100,29 days 23 hours 56 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,63,18 days 21 hours 33 minutes 35 seconds ,37,,11 days 2 hours 22 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,80.76,4 days 7 hours 4 minutes 17 seconds ,19.24,,1 days 0 hours 33 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,100,29 days 23 hours 56 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,73.24,3 days 21 hours 26 minutes 58 seconds ,26.76,,1 days 10 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,99.8,5 days 7 hours 14 minutes 51 seconds ,0.2,,0 days 0 hours 15 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,100,5 days 7 hours 36 minutes 6 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,63.1,18 days 22 hours 19 minutes 11 seconds ,36.9,,11 days 1 hours 40 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,87.34,26 days 4 hours 47 minutes 32 seconds ,12.66,,3 days 19 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,100,5 days 7 hours 37 minutes 6 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,63.1,18 days 22 hours 16 minutes 47 seconds ,36.9,,11 days 1 hours 39 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,95.56,5 days 1 hours 58 minutes 5 seconds ,4.44,,0 days 5 hours 40 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,57.14,17 days 3 hours 21 minutes 44 seconds ,42.86,,12 days 20 hours 33 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
