Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,74.44,,,
Maintenance (%),,,,,6.5,,,
Down (%),,,,,19.06,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,95.84,30 days 15 hours 59 minutes 11 seconds ,4.04,,1 days 7 hours 1 minutes 28 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,74.27,23 days 18 hours 23 minutes 36 seconds ,25.73,,8 days 5 hours 36 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,98.98,31 days 16 hours 6 minutes 37 seconds ,1.02,,0 days 7 hours 49 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,97.36,31 days 3 hours 39 minutes 6 seconds ,2.64,,0 days 20 hours 16 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.83,31 days 22 hours 38 minutes 35 seconds ,0.17,,0 days 1 hours 18 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,79.46,25 days 10 hours 11 minutes 35 seconds ,20.43,,6 days 12 hours 53 minutes 13 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,99.94,31 days 23 hours 24 minutes 7 seconds ,0.06,,0 days 0 hours 27 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,100,31 days 23 hours 55 minutes 29 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,97.06,31 days 1 hours 25 minutes 14 seconds ,2.83,,0 days 21 hours 44 minutes 4 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,95.87,30 days 16 hours 13 minutes 57 seconds ,4.02,,1 days 6 hours 52 minutes 18 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,97.86,31 days 7 hours 30 minutes 24 seconds ,1.9,,0 days 14 hours 35 minutes 27 seconds ,0.24,0 days 1 hours 50 minutes 35 seconds 
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,28.26,9 days 1 hours 1 minutes 12 seconds ,11.07,,3 days 13 hours 0 minutes 40 seconds ,60.67,19 days 9 hours 54 minutes 34 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,97.1,31 days 1 hours 39 minutes 18 seconds ,2.79,,0 days 21 hours 25 minutes 30 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,28.21,9 days 0 hours 36 minutes 47 seconds ,11.12,,3 days 13 hours 23 minutes 9 seconds ,60.67,19 days 9 hours 51 minutes 37 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,96.72,30 days 22 hours 44 minutes 32 seconds ,3.15,,1 days 0 hours 11 minutes 23 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,99.7,31 days 21 hours 41 minutes 45 seconds ,0.3,,0 days 2 hours 18 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,28.26,9 days 1 hours 1 minutes 12 seconds ,11.07,,3 days 13 hours 0 minutes 40 seconds ,60.67,19 days 9 hours 54 minutes 34 seconds 
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,99.25,31 days 18 hours 10 minutes 15 seconds ,0.75,,0 days 5 hours 45 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,95.51,30 days 13 hours 27 minutes 36 seconds ,4.37,,1 days 9 hours 33 minutes 32 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 12 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,93.55,29 days 22 hours 23 minutes 33 seconds ,6.45,,2 days 1 hours 31 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,99.88,31 days 23 hours 0 minutes 12 seconds ,0.12,,0 days 0 hours 55 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,97.93,31 days 8 hours 3 minutes 8 seconds ,1.85,,0 days 14 hours 12 minutes 25 seconds ,0.22,0 days 1 hours 41 minutes 22 seconds 
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,99.36,31 days 19 hours 1 minutes 23 seconds ,0.64,,0 days 4 hours 54 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,97.29,31 days 3 hours 6 minutes 50 seconds ,2.6,,0 days 19 hours 57 minutes 58 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-VVC-RLVD-ANPR6 ( 172.22.0.178 ),Ping,28.2,9 days 0 hours 32 minutes 27 seconds ,11.14,,3 days 13 hours 32 minutes 29 seconds ,60.66,19 days 9 hours 47 minutes 36 seconds 
BSCL-HC-RLVD-ANPR1 ( 172.22.0.58 ),Ping,28.27,9 days 1 hours 5 minutes 40 seconds ,11.06,,3 days 12 hours 56 minutes 0 seconds ,60.67,19 days 9 hours 54 minutes 16 seconds 
BSCL-GNC-RLVD-ANPR1 ( 172.22.0.89 ),Ping,98.83,31 days 14 hours 53 minutes 22 seconds ,1.17,,0 days 8 hours 59 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR2 ( 172.22.0.232 ),Ping,95.88,30 days 16 hours 17 minutes 11 seconds ,4,,1 days 6 hours 43 minutes 1 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-BNC-RLVD-ANPR1 ( 172.22.0.213 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.87,,31 days 22 hours 55 minutes 54 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-ASC-RLVD-ANPR2 ( 172.22.0.51 ),Ping,98.49,31 days 12 hours 24 minutes 11 seconds ,1.14,,0 days 8 hours 45 minutes 19 seconds ,0.37,0 days 2 hours 50 minutes 30 seconds 
BSCL-CMD-RLVD-ANPR5 ( 172.22.0.71 ),Ping,47.44,15 days 4 hours 20 minutes 21 seconds ,52.56,,16 days 19 hours 39 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR3 ( 172.22.0.137 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 9 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-VRP-RLVD-ANPR2 ( 172.22.0.168 ),Ping,99.4,31 days 19 hours 23 minutes 30 seconds ,0.6,,0 days 4 hours 36 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR3 ( 172.22.0.153 ),Ping,94.41,30 days 4 hours 59 minutes 52 seconds ,5.3,,1 days 16 hours 42 minutes 0 seconds ,0.29,0 days 2 hours 13 minutes 37 seconds 
BSCL-MPC-RLVD-ANPR7 ( 172.22.0.109 ),Ping,97.94,31 days 8 hours 2 minutes 51 seconds ,1.84,,0 days 14 hours 7 minutes 43 seconds ,0.22,0 days 1 hours 41 minutes 21 seconds 
BSCL-VVC-RLVD-ANPR3 ( 172.22.0.175 ),Ping,28.19,9 days 0 hours 29 minutes 57 seconds ,11.14,,3 days 13 hours 33 minutes 19 seconds ,60.67,19 days 9 hours 56 minutes 44 seconds 
BSCL-TBC-RLVD-ANPR6 ( 172.22.0.212 ),Ping,98.5,31 days 12 hours 28 minutes 47 seconds ,1.5,,0 days 11 hours 31 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR2 ( 172.22.0.120 ),Ping,74.97,23 days 23 hours 46 minutes 10 seconds ,24.92,,7 days 23 hours 23 minutes 8 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-MNC-ANPR5 ( 172.22.0.241 ),Ping,96.8,30 days 23 hours 21 minutes 24 seconds ,3.07,,0 days 23 hours 34 minutes 32 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-FRC-RLVD-ANPR5 ( 172.22.0.155 ),Ping,94.42,30 days 5 hours 8 minutes 43 seconds ,5.29,,1 days 16 hours 37 minutes 38 seconds ,0.29,0 days 2 hours 13 minutes 38 seconds 
BSCL-MN-RLVD-ANPR2 ( 172.22.0.226 ),Ping,76.74,24 days 13 hours 21 minutes 47 seconds ,23.13,,7 days 9 hours 38 minutes 18 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-MMT-RLVD-ANPR2 ( 172.22.0.184 ),Ping,99.65,31 days 21 hours 14 minutes 32 seconds ,0.35,,0 days 2 hours 41 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR7 ( 172.22.0.117 ),Ping,99.87,31 days 22 hours 55 minutes 35 seconds ,0.13,,0 days 0 hours 59 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR1 ( 172.22.0.231 ),Ping,95.75,30 days 15 hours 13 minutes 24 seconds ,4.13,,1 days 7 hours 42 minutes 45 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-RGC-RLVD-ANPR3 ( 172.22.0.199 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 12 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-TWC-RLVD-ANPR5 ( 172.22.0.163 ),Ping,1.55,0 days 11 hours 54 minutes 14 seconds ,98.32,,31 days 11 hours 5 minutes 51 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-RGC-RLVD-ANPR4 ( 172.22.0.200 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 1 minutes 9 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-MDC-RLVD-ANPR2 ( 172.22.0.112 ),Ping,99.93,31 days 23 hours 23 minutes 33 seconds ,0.07,,0 days 0 hours 32 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR5 ( 172.22.0.193 ),Ping,79.46,25 days 10 hours 11 minutes 17 seconds ,20.42,,6 days 12 hours 48 minutes 32 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-GC-RLVD-ANPR3 ( 172.22.0.85 ),Ping,97.54,31 days 5 hours 3 minutes 26 seconds ,2.46,,0 days 18 hours 53 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-ANPR8 ( 172.22.0.96 ),Ping,54.94,17 days 13 hours 56 minutes 21 seconds ,44.93,,14 days 9 hours 3 minutes 44 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-SC-RLVD-ANPR8 ( 172.22.0.150 ),Ping,95.85,30 days 16 hours 3 minutes 18 seconds ,4.03,,1 days 6 hours 56 minutes 50 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
