Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.95,,31 days 23 hours 28 minutes 44 seconds ,0.05,0 days 0 hours 23 minutes 2 seconds 
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.44,,12 days 14 hours 52 minutes 45 seconds ,60.56,19 days 9 hours 4 minutes 12 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,96.97,31 days 0 hours 40 minutes 49 seconds ,3.03,,0 days 23 hours 16 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,35.57,11 days 9 hours 10 minutes 39 seconds ,64.43,,20 days 14 hours 49 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.43,,12 days 14 hours 47 minutes 41 seconds ,60.57,19 days 9 hours 8 minutes 6 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,98.45,31 days 12 hours 1 minutes 15 seconds ,1.14,,0 days 8 hours 45 minutes 16 seconds ,0.41,0 days 3 hours 8 minutes 55 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,97.56,31 days 5 hours 11 minutes 15 seconds ,2.44,,0 days 18 hours 44 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,97.54,31 days 5 hours 3 minutes 26 seconds ,2.46,,0 days 18 hours 53 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,64.76,20 days 17 hours 18 minutes 47 seconds ,35.24,,11 days 6 hours 37 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,99.91,31 days 23 hours 13 minutes 57 seconds ,0.09,,0 days 0 hours 41 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,24.68,7 days 21 hours 31 minutes 25 seconds ,75.32,,24 days 2 hours 24 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.97,,31 days 23 hours 38 minutes 36 seconds ,0.03,0 days 0 hours 13 minutes 49 seconds 
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,31.18,9 days 23 hours 27 minutes 44 seconds ,68.82,,22 days 0 hours 32 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,99.94,31 days 23 hours 32 minutes 20 seconds ,0.06,,0 days 0 hours 27 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,99.95,31 days 23 hours 28 minutes 54 seconds ,0.05,,0 days 0 hours 23 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,99.24,31 days 18 hours 5 minutes 45 seconds ,0.76,,0 days 5 hours 50 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,96.68,30 days 22 hours 30 minutes 8 seconds ,3.32,,1 days 1 hours 29 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.79,,31 days 22 hours 18 minutes 41 seconds ,0.21,0 days 1 hours 36 minutes 46 seconds 
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,5.47,1 days 18 hours 0 minutes 5 seconds ,94.53,,30 days 5 hours 50 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.55,,31 days 20 hours 28 minutes 5 seconds ,0.45,0 days 3 hours 27 minutes 20 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,2.14,0 days 16 hours 26 minutes 7 seconds ,97.86,,31 days 7 hours 33 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 50 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC4 ( 172.19.1.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC2 ( 172.19.1.127 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.38,,12 days 14 hours 26 minutes 18 seconds ,60.62,19 days 9 hours 33 minutes 41 seconds 
BSCL-MN-ATCS-VDC2 ( 172.19.1.185 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 56 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC4 ( 172.19.1.168 ),Ping,28.22,9 days 0 hours 42 minutes 46 seconds ,11.21,,3 days 14 hours 5 minutes 10 seconds ,60.57,19 days 9 hours 8 minutes 30 seconds 
BSCL-HC-ATCS-VDC3 ( 172.19.1.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.44,,12 days 14 hours 53 minutes 57 seconds ,60.56,19 days 9 hours 6 minutes 2 seconds 
BSCL-MDC-ATCS-VDC3 ( 172.19.1.135 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,31 days 23 hours 55 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
