Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,81.94,,,
Maintenance (%),,,,,6.16,,,
Down (%),,,,,11.9,,,
Name : CCTV,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,97.08,31 days 1 hours 34 minutes 27 seconds ,2.81,,0 days 21 hours 34 minutes 51 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,95.85,30 days 16 hours 7 minutes 40 seconds ,4.04,,1 days 7 hours 1 minutes 38 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,97.99,31 days 8 hours 33 minutes 47 seconds ,1.77,,0 days 13 hours 35 minutes 37 seconds ,0.24,0 days 1 hours 50 minutes 36 seconds 
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,97.09,31 days 1 hours 39 minutes 3 seconds ,2.8,,0 days 21 hours 30 minutes 14 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.94,31 days 23 hours 32 minutes 20 seconds ,0.06,,0 days 0 hours 27 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,98.49,31 days 12 hours 24 minutes 11 seconds ,1.14,,0 days 8 hours 45 minutes 19 seconds ,0.37,0 days 2 hours 50 minutes 30 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,96.55,30 days 21 hours 30 minutes 14 seconds ,3.45,,1 days 2 hours 29 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,99.88,31 days 23 hours 4 minutes 41 seconds ,0.12,,0 days 0 hours 55 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,77.03,24 days 15 hours 35 minutes 25 seconds ,22.84,,7 days 7 hours 24 minutes 40 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.21,31 days 17 hours 55 minutes 57 seconds ,0.79,,0 days 6 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
