Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,98.83,31 days 14 hours 56 minutes 24 seconds ,1.17,,0 days 8 hours 59 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 4 minutes 41 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.06,31 days 16 hours 38 minutes 31 seconds ,0.94,,0 days 7 hours 13 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.67,,31 days 21 hours 27 minutes 55 seconds ,0.33,0 days 2 hours 32 minutes 4 seconds 
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,99.22,31 days 18 hours 0 minutes 34 seconds ,0.78,,0 days 5 hours 59 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.85,,31 days 22 hours 50 minutes 52 seconds ,0.15,0 days 1 hours 9 minutes 7 seconds 
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 9 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.3,,12 days 13 hours 49 minutes 26 seconds ,60.7,19 days 10 hours 10 minutes 33 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,95.33,30 days 12 hours 4 minutes 5 seconds ,4.5,,1 days 10 hours 33 minutes 25 seconds ,0.17,0 days 1 hours 18 minutes 20 seconds 
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 12 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,97.31,31 days 3 hours 12 minutes 7 seconds ,2.57,,0 days 19 hours 44 minutes 2 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,28.21,9 days 0 hours 36 minutes 53 seconds ,11.09,,3 days 13 hours 9 minutes 22 seconds ,60.7,19 days 10 hours 5 minutes 38 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,97.57,31 days 5 hours 15 minutes 51 seconds ,2.43,,0 days 18 hours 39 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 1 minutes 37 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,99.88,31 days 23 hours 0 minutes 12 seconds ,0.12,,0 days 0 hours 55 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC1 ( 172.22.2.147 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.64,,31 days 21 hours 9 minutes 56 seconds ,0.36,0 days 2 hours 45 minutes 52 seconds 
BSCL-TWC-RLVD-EC2 ( 172.22.2.152 ),Ping,99.3,31 days 18 hours 32 minutes 57 seconds ,0.7,,0 days 5 hours 22 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-EC3 ( 172.22.2.129 ),Ping,97.97,31 days 8 hours 20 minutes 9 seconds ,1.81,,0 days 13 hours 53 minutes 58 seconds ,0.22,0 days 1 hours 41 minutes 22 seconds 
BSCL-CMD-RLVD-EC3 ( 172.22.2.111 ),Ping,52.84,16 days 21 hours 46 minutes 47 seconds ,47.16,,15 days 2 hours 9 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-EC2 ( 172.22.2.140 ),Ping,96.74,30 days 22 hours 54 minutes 49 seconds ,3.1,,0 days 23 hours 48 minutes 23 seconds ,0.16,0 days 1 hours 13 minutes 43 seconds 
BSCL-HC-RLVD-EC2 ( 172.22.2.106 ),Ping,28.26,9 days 1 hours 0 minutes 0 seconds ,11.03,,3 days 12 hours 41 minutes 46 seconds ,60.71,19 days 10 hours 10 minutes 26 seconds 
BSCL-MPC-RLVD-EC4 ( 172.22.2.130 ),Ping,97.84,31 days 7 hours 21 minutes 11 seconds ,1.92,,0 days 14 hours 44 minutes 40 seconds ,0.24,0 days 1 hours 50 minutes 35 seconds 
BSCL-NC-RLVD-EC3 ( 172.22.2.141 ),Ping,96.72,30 days 22 hours 40 minutes 8 seconds ,3.12,,0 days 23 hours 57 minutes 25 seconds ,0.16,0 days 1 hours 13 minutes 43 seconds 
BSCL-MC-RLVD-EC1 ( 172.22.2.135 ),Ping,97.06,31 days 1 hours 25 minutes 14 seconds ,2.8,,0 days 21 hours 30 minutes 14 seconds ,0.14,0 days 1 hours 4 minutes 31 seconds 
BSCL-HC-RLVD-EC1 ( 172.22.2.105 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.29,,12 days 13 hours 44 minutes 50 seconds ,60.71,19 days 10 hours 15 minutes 10 seconds 
BSCL-TBC-RLVD-EC1 ( 172.22.2.171 ),Ping,99.15,31 days 17 hours 24 minutes 37 seconds ,0.85,,0 days 6 hours 31 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC2 ( 172.22.2.187 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 4 minutes 41 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-GNC-RLVD-EC4 ( 172.22.2.123 ),Ping,79.61,25 days 11 hours 24 minutes 17 seconds ,20.26,,6 days 11 hours 35 minutes 48 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-BNC-RLVD-EC1 ( 172.22.2.175 ),Ping,99.93,31 days 23 hours 23 minutes 14 seconds ,0.07,,0 days 0 hours 32 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC3 ( 172.22.2.157 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 1 minutes 19 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-VRP-RLVD-EC2 ( 172.22.2.156 ),Ping,99.28,31 days 18 hours 23 minutes 44 seconds ,0.72,,0 days 5 hours 31 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-EC1 ( 172.22.2.101 ),Ping,98.41,31 days 11 hours 43 minutes 0 seconds ,1.22,,0 days 9 hours 22 minutes 7 seconds ,0.37,0 days 2 hours 50 minutes 29 seconds 
BSCL-SC-RLVD-EC4 ( 172.22.2.146 ),Ping,95.83,30 days 15 hours 50 minutes 35 seconds ,4.03,,1 days 6 hours 56 minutes 42 seconds ,0.14,0 days 1 hours 4 minutes 30 seconds 
BSCL-MN-RLVD-EC2 ( 172.22.2.182 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.84,,31 days 22 hours 42 minutes 6 seconds ,0.16,0 days 1 hours 13 minutes 43 seconds 
BSCL-RGC-RLVD-EC4 ( 172.22.2.170 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.87,,31 days 22 hours 55 minutes 54 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-CMD-RLVD-EC1 ( 172.22.2.109 ),Ping,99.96,31 days 23 hours 37 minutes 53 seconds ,0.04,,0 days 0 hours 18 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC2 ( 172.22.2.136 ),Ping,97.08,31 days 1 hours 34 minutes 27 seconds ,2.77,,0 days 21 hours 16 minutes 25 seconds ,0.15,0 days 1 hours 9 minutes 7 seconds 
BSCL-MMC-RLVD-EC2 ( 172.22.2.125 ),Ping,28.26,9 days 0 hours 59 minutes 58 seconds ,11.04,,3 days 12 hours 46 minutes 21 seconds ,60.7,19 days 10 hours 5 minutes 44 seconds 
BSCL-TBC-RLVD-EC2 ( 172.22.2.172 ),Ping,99.13,31 days 17 hours 15 minutes 14 seconds ,0.87,,0 days 6 hours 40 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC1 ( 172.22.2.151 ),Ping,99.22,31 days 18 hours 0 minutes 34 seconds ,0.78,,0 days 5 hours 59 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC2 ( 172.22.2.110 ),Ping,99.93,31 days 23 hours 23 minutes 14 seconds ,0.07,,0 days 0 hours 32 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC2 ( 172.22.2.121 ),Ping,98.79,31 days 14 hours 42 minutes 25 seconds ,1.21,,0 days 9 hours 17 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC1 ( 172.22.2.167 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 4 minutes 41 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-HC-RLVD-EC4 ( 172.22.2.108 ),Ping,28.26,9 days 0 hours 59 minutes 49 seconds ,11.04,,3 days 12 hours 46 minutes 18 seconds ,60.7,19 days 10 hours 5 minutes 26 seconds 
BSCL-MMC-RLVD-EC1 ( 172.22.2.124 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,39.29,,12 days 13 hours 44 minutes 50 seconds ,60.71,19 days 10 hours 15 minutes 10 seconds 
BSCL-MDC-RLVD-EC2 ( 172.22.2.132 ),Ping,99.92,31 days 23 hours 18 minutes 57 seconds ,0.08,,0 days 0 hours 36 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-EC3 ( 172.22.2.119 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.88,,31 days 23 hours 0 minutes 9 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-ASC-RLVD-EC4 ( 172.22.2.104 ),Ping,98.31,31 days 11 hours 1 minutes 14 seconds ,1.27,,0 days 9 hours 45 minutes 13 seconds ,0.42,0 days 3 hours 13 minutes 32 seconds 
BSCL-NC-RLVD-EC1 ( 172.22.2.139 ),Ping,96.7,30 days 22 hours 35 minutes 19 seconds ,3.13,,1 days 0 hours 2 minutes 10 seconds ,0.17,0 days 1 hours 18 minutes 20 seconds 
BSCL-VVC-RLVD-EC1 ( 172.22.2.158 ),Ping,28.2,9 days 0 hours 33 minutes 28 seconds ,11.09,,3 days 13 hours 9 minutes 50 seconds ,60.71,19 days 10 hours 12 minutes 48 seconds 
BSCL-MPC-RLVD-EC1 ( 172.22.2.127 ),Ping,97.86,31 days 7 hours 30 minutes 52 seconds ,1.92,,0 days 14 hours 44 minutes 41 seconds ,0.22,0 days 1 hours 41 minutes 22 seconds 
BSCL-MDC-RLVD-EC4 ( 172.22.2.134 ),Ping,99.92,31 days 23 hours 18 minutes 57 seconds ,0.08,,0 days 0 hours 36 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC4 ( 172.22.2.138 ),Ping,96.88,31 days 0 hours 2 minutes 17 seconds ,2.96,,0 days 22 hours 43 minutes 58 seconds ,0.16,0 days 1 hours 13 minutes 44 seconds 
BSCL-NC-RLVD-EC4 ( 172.22.2.142 ),Ping,97.03,31 days 1 hours 11 minutes 25 seconds ,2.82,,0 days 21 hours 39 minutes 27 seconds ,0.15,0 days 1 hours 9 minutes 7 seconds 
BSCL-SC-RLVD-EC1 ( 172.22.2.143 ),Ping,95.38,30 days 12 hours 27 minutes 42 seconds ,4.46,,1 days 10 hours 15 minutes 1 seconds ,0.16,0 days 1 hours 13 minutes 43 seconds 
BSCL-GNC-RLVD-EC1 ( 172.22.2.120 ),Ping,98.79,31 days 14 hours 42 minutes 25 seconds ,1.21,,0 days 9 hours 17 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC1 ( 172.22.2.113 ),Ping,96.98,31 days 0 hours 44 minutes 56 seconds ,2.9,,0 days 22 hours 16 minutes 13 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-MMT-RLVD-EC3 ( 172.22.2.166 ),Ping,99.09,31 days 17 hours 0 minutes 39 seconds ,0.91,,0 days 6 hours 59 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC3 ( 172.22.2.149 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,99.66,,31 days 21 hours 23 minutes 19 seconds ,0.34,0 days 2 hours 36 minutes 40 seconds 
BSCL-DNC-RLVD-EC2 ( 172.22.2.114 ),Ping,36.8,11 days 18 hours 35 minutes 47 seconds ,63.08,,20 days 4 hours 24 minutes 25 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-ASC-RLVD-EC2 ( 172.22.2.102 ),Ping,98.31,31 days 11 hours 1 minutes 14 seconds ,1.27,,0 days 9 hours 45 minutes 13 seconds ,0.42,0 days 3 hours 13 minutes 32 seconds 
BSCL-GC-RLVD-EC1 ( 172.22.2.117 ),Ping,97.01,31 days 1 hours 2 minutes 12 seconds ,2.99,,0 days 22 hours 57 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-EC3 ( 172.22.2.126 ),Ping,28.27,9 days 1 hours 5 minutes 34 seconds ,11.03,,3 days 12 hours 42 minutes 8 seconds ,60.7,19 days 10 hours 7 minutes 54 seconds 
