Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,99.12,31 days 17 hours 14 minutes 29 seconds ,0.88,,0 days 6 hours 45 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,93.22,29 days 19 hours 49 minutes 20 seconds ,6.27,,2 days 0 hours 8 minutes 47 seconds ,0.51,0 days 3 hours 54 minutes 58 seconds 
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,93.7,29 days 23 hours 32 minutes 44 seconds ,5.83,,1 days 20 hours 46 minutes 12 seconds ,0.47,0 days 3 hours 36 minutes 33 seconds 
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,98.97,31 days 16 hours 1 minutes 13 seconds ,1.03,,0 days 7 hours 54 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,98.5,31 days 12 hours 25 minutes 17 seconds ,1.38,,0 days 10 hours 35 minutes 51 seconds ,0.12,0 days 0 hours 55 minutes 18 seconds 
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,99.96,31 days 23 hours 38 minutes 0 seconds ,0.04,,0 days 0 hours 18 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,97.2,,,
Maintenance (%),,,,,0.19,,,
Down (%),,,,,2.62,,,
