Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,100,31 days 23 hours 59 minutes 59 seconds ,,0,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.99,31 days 23 hours 50 minutes 49 seconds ,,0.01,0 days 0 hours 4 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,35.36,11 days 7 hours 30 minutes 37 seconds ,,64.3,20 days 13 hours 43 minutes 30 seconds ,0.34,0 days 2 hours 36 minutes 38 seconds 
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,96.71,30 days 22 hours 39 minutes 32 seconds ,,3.16,1 days 0 hours 15 minutes 59 seconds ,0.13,0 days 0 hours 59 minutes 54 seconds 
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,70.07,22 days 10 hours 8 minutes 15 seconds ,,29.52,9 days 10 hours 42 minutes 49 seconds ,0.41,0 days 3 hours 8 minutes 56 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,0,0 days 0 hours 0 minutes 0 seconds,,99.88,31 days 22 hours 56 minutes 58 seconds ,0.12,0 days 0 hours 55 minutes 17 seconds 
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,97.06,31 days 1 hours 21 minutes 47 seconds ,,2.83,0 days 21 hours 43 minutes 58 seconds ,0.11,0 days 0 hours 50 minutes 41 seconds 
Name : WWD,,,,,,,,,
Time Span: From 14 Oct  2023 12:00:00 AM To 14 Nov  2023 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,71.58,,,,
Maintenance (%),,,,,0.16,,,,
Down (%),,,,,28.26,,,,
