Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,76.75,,,
Maintenance (%),,,,,10.96,,,
Down (%),,,,,12.3,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,92.52,27 days 18 hours 5 minutes 33 seconds ,7.48,,2 days 5 hours 51 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,97.24,29 days 4 hours 3 minutes 29 seconds ,2.76,,0 days 19 hours 52 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,95.99,28 days 19 hours 4 minutes 29 seconds ,4.01,,1 days 4 hours 52 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.43,29 days 19 hours 44 minutes 34 seconds ,0.57,,0 days 4 hours 6 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.62,29 days 21 hours 7 minutes 56 seconds ,0.38,,0 days 2 hours 44 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,45.67,13 days 16 hours 45 minutes 27 seconds ,54.33,,16 days 7 hours 5 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,99.73,29 days 21 hours 59 minutes 15 seconds ,0.27,,0 days 1 hours 56 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.92,29 days 23 hours 16 minutes 12 seconds ,0.08,,0 days 0 hours 34 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,98.91,29 days 16 hours 5 minutes 50 seconds ,1.09,,0 days 7 hours 50 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,92.67,27 days 19 hours 9 minutes 27 seconds ,7.33,,2 days 4 hours 46 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,99.2,29 days 18 hours 10 minutes 36 seconds ,0.8,,0 days 5 hours 45 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,98.91,29 days 16 hours 5 minutes 33 seconds ,1.09,,0 days 7 hours 50 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,97.21,29 days 3 hours 54 minutes 42 seconds ,2.79,,0 days 20 hours 5 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,98.98,29 days 16 hours 39 minutes 21 seconds ,1.02,,0 days 7 hours 20 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,99.02,29 days 16 hours 52 minutes 34 seconds ,0.98,,0 days 7 hours 3 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,92.31,27 days 16 hours 37 minutes 54 seconds ,7.69,,2 days 7 hours 22 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,47.44,14 days 5 hours 29 minutes 42 seconds ,52.56,,15 days 18 hours 21 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,99.66,29 days 21 hours 28 minutes 19 seconds ,0.34,,0 days 2 hours 26 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,99.7,29 days 21 hours 41 minutes 11 seconds ,0.3,,0 days 2 hours 9 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,99.23,29 days 18 hours 24 minutes 3 seconds ,0.77,,0 days 5 hours 32 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,99.03,29 days 16 hours 56 minutes 40 seconds ,0.97,,0 days 6 hours 59 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,99.14,29 days 17 hours 39 minutes 49 seconds ,0.86,,0 days 6 hours 11 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR6 ( 172.22.0.178 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 40 seconds 
BSCL-HC-RLVD-ANPR1 ( 172.22.0.58 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 53 seconds 
BSCL-GNC-RLVD-ANPR1 ( 172.22.0.89 ),Ping,98.82,29 days 15 hours 21 minutes 6 seconds ,1.18,,0 days 8 hours 29 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR2 ( 172.22.0.232 ),Ping,92.51,27 days 17 hours 55 minutes 46 seconds ,7.49,,2 days 5 hours 54 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR1 ( 172.22.0.213 ),Ping,54.41,16 days 7 hours 42 minutes 53 seconds ,45.59,,13 days 16 hours 13 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-ANPR2 ( 172.22.0.51 ),Ping,98.59,29 days 13 hours 47 minutes 36 seconds ,1.41,,0 days 10 hours 9 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR5 ( 172.22.0.71 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,55.27,,16 days 13 hours 54 minutes 48 seconds ,44.73,13 days 10 hours 1 minutes 52 seconds 
BSCL-OBS-RLVD-ANPR3 ( 172.22.0.137 ),Ping,3.93,1 days 4 hours 17 minutes 35 seconds ,96.07,,28 days 19 hours 38 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR2 ( 172.22.0.168 ),Ping,99.05,29 days 17 hours 5 minutes 19 seconds ,0.95,,0 days 6 hours 50 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR3 ( 172.22.0.153 ),Ping,98.91,29 days 15 hours 59 minutes 59 seconds ,1.09,,0 days 7 hours 50 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR7 ( 172.22.0.109 ),Ping,99.23,29 days 18 hours 18 minutes 42 seconds ,0.77,,0 days 5 hours 32 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR3 ( 172.22.0.175 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 34 seconds 
BSCL-TBC-RLVD-ANPR6 ( 172.22.0.212 ),Ping,96.72,29 days 0 hours 18 minutes 51 seconds ,3.28,,0 days 23 hours 36 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR2 ( 172.22.0.120 ),Ping,50.45,15 days 3 hours 12 minutes 13 seconds ,49.55,,14 days 20 hours 43 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MNC-ANPR5 ( 172.22.0.241 ),Ping,96.87,29 days 1 hours 27 minutes 50 seconds ,3.13,,0 days 22 hours 32 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-ANPR5 ( 172.22.0.155 ),Ping,98.98,29 days 16 hours 35 minutes 4 seconds ,1.02,,0 days 7 hours 20 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR2 ( 172.22.0.226 ),Ping,99.23,29 days 18 hours 23 minutes 34 seconds ,0.77,,0 days 5 hours 32 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-ANPR2 ( 172.22.0.184 ),Ping,98.86,29 days 15 hours 43 minutes 27 seconds ,1.14,,0 days 8 hours 12 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR7 ( 172.22.0.117 ),Ping,99.7,29 days 21 hours 41 minutes 11 seconds ,0.3,,0 days 2 hours 9 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR1 ( 172.22.0.231 ),Ping,92.53,27 days 18 hours 4 minutes 53 seconds ,7.47,,2 days 5 hours 46 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR3 ( 172.22.0.199 ),Ping,46.92,14 days 1 hours 45 minutes 6 seconds ,53.08,,15 days 22 hours 5 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-ANPR5 ( 172.22.0.163 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 55 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR4 ( 172.22.0.200 ),Ping,46.24,13 days 20 hours 53 minutes 55 seconds ,53.76,,16 days 3 hours 2 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
