Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 56 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,43.63,13 days 2 hours 8 minutes 9 seconds ,56.37,,16 days 21 hours 51 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 53 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,86.07,25 days 19 hours 38 minutes 5 seconds ,13.93,,4 days 4 hours 17 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 56 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,98.65,29 days 14 hours 12 minutes 3 seconds ,1.35,,0 days 9 hours 43 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.47,29 days 20 hours 1 minutes 51 seconds ,0.53,,0 days 3 hours 48 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.4,29 days 19 hours 37 minutes 29 seconds ,0.6,,0 days 4 hours 19 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,75.01,22 days 12 hours 1 minutes 4 seconds ,24.99,,7 days 11 hours 54 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,80.52,24 days 3 hours 40 minutes 46 seconds ,19.48,,5 days 20 hours 14 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,90.43,27 days 3 hours 1 minutes 24 seconds ,9.57,,2 days 20 hours 53 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,58.61,17 days 13 hours 54 minutes 24 seconds ,41.39,,12 days 9 hours 56 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,92.93,27 days 20 hours 57 minutes 0 seconds ,7.07,,2 days 2 hours 53 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,99.84,29 days 22 hours 41 minutes 28 seconds ,0.16,,0 days 1 hours 9 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,99.85,29 days 22 hours 46 minutes 29 seconds ,0.15,,0 days 1 hours 4 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,94.07,28 days 5 hours 14 minutes 10 seconds ,5.93,,1 days 18 hours 41 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,97.21,29 days 3 hours 46 minutes 2 seconds ,2.79,,0 days 20 hours 5 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,67.06,20 days 2 hours 43 minutes 36 seconds ,32.94,,9 days 21 hours 6 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
