Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,75.74,,,
Maintenance (%),,,,,13.64,,,
Down (%),,,,,10.63,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,74.95,22 days 11 hours 35 minutes 32 seconds ,25.05,,7 days 12 hours 20 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,95.48,28 days 15 hours 24 minutes 11 seconds ,4.52,,1 days 8 hours 32 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,94.04,28 days 5 hours 1 minutes 41 seconds ,5.96,,1 days 18 hours 54 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,98.84,29 days 15 hours 35 minutes 6 seconds ,1.16,,0 days 8 hours 21 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,80.99,24 days 7 hours 4 minutes 59 seconds ,19.01,,5 days 16 hours 51 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,98.64,29 days 14 hours 3 minutes 11 seconds ,1.36,,0 days 9 hours 47 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,90.59,27 days 4 hours 10 minutes 41 seconds ,9.41,,2 days 19 hours 44 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,99.06,29 days 17 hours 9 minutes 51 seconds ,0.94,,0 days 6 hours 46 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,71.28,21 days 9 hours 10 minutes 14 seconds ,28.72,,8 days 14 hours 45 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,81.57,24 days 11 hours 18 minutes 14 seconds ,18.43,,5 days 12 hours 41 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,81.17,24 days 8 hours 18 minutes 3 seconds ,18.83,,5 days 15 hours 32 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 40 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,37.89,11 days 8 hours 47 minutes 13 seconds ,62.11,,18 days 15 hours 9 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,91.69,27 days 12 hours 2 minutes 5 seconds ,8.31,,2 days 11 hours 49 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,81.13,24 days 8 hours 4 minutes 15 seconds ,18.87,,5 days 15 hours 50 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 53 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,98.88,29 days 15 hours 56 minutes 9 seconds ,1.12,,0 days 8 hours 3 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.27,29 days 18 hours 39 minutes 51 seconds ,0.73,,0 days 5 hours 15 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,99.02,29 days 16 hours 52 minutes 34 seconds ,0.98,,0 days 7 hours 3 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,97.11,29 days 3 hours 11 minutes 30 seconds ,2.89,,0 days 20 hours 48 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,94.64,28 days 9 hours 16 minutes 13 seconds ,5.36,,1 days 14 hours 35 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
