Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,75.93,,,
Maintenance (%),,,,,12.54,,,
Down (%),,,,,11.54,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,99.19,29 days 18 hours 10 minutes 4 seconds ,0.81,,0 days 5 hours 49 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,82.35,24 days 16 hours 55 minutes 11 seconds ,17.65,,5 days 7 hours 4 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,99.3,29 days 18 hours 57 minutes 35 seconds ,0.7,,0 days 5 hours 2 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,96.83,29 days 1 hours 10 minutes 33 seconds ,3.17,,0 days 22 hours 49 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.93,29 days 23 hours 29 minutes 45 seconds ,0.07,,0 days 0 hours 30 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,98.59,29 days 13 hours 50 minutes 52 seconds ,1.41,,0 days 10 hours 9 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,99.12,29 days 17 hours 39 minutes 50 seconds ,0.88,,0 days 6 hours 20 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,98.18,29 days 10 hours 53 minutes 45 seconds ,1.82,,0 days 13 hours 6 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,54.23,16 days 6 hours 27 minutes 21 seconds ,45.77,,13 days 17 hours 32 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.31,29 days 19 hours 1 minutes 54 seconds ,0.69,,0 days 4 hours 58 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,14.89,4 days 11 hours 12 minutes 29 seconds ,85.11,,25 days 12 hours 47 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,99.22,29 days 18 hours 23 minutes 2 seconds ,0.78,,0 days 5 hours 36 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PTZ1 ( 172.18.0.101 ),SNMP Device,98.53,29 days 13 hours 24 minutes 57 seconds ,1.47,,0 days 10 hours 35 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CIMS-FIX3 ( 172.18.1.223 ),SNMP Device,99.08,29 days 17 hours 22 minutes 33 seconds ,0.92,,0 days 6 hours 37 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-FIX2 ( 172.18.1.146 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-OBS-FIX4 ( 172.18.1.167 ),SNMP Device,98.04,29 days 9 hours 53 minutes 16 seconds ,1.96,,0 days 14 hours 6 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-FIX4 ( 172.18.1.210 ),SNMP Device,99.51,29 days 20 hours 28 minutes 18 seconds ,0.49,,0 days 3 hours 31 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX1 ( 172.18.1.169 ),SNMP Device,92.4,27 days 17 hours 16 minutes 47 seconds ,7.6,,2 days 6 hours 43 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX4 ( 172.18.1.187 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-CO-FIX3 ( 172.18.1.235 ),SNMP Device,99.22,29 days 18 hours 23 minutes 2 seconds ,0.78,,0 days 5 hours 36 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-FIX2 ( 172.18.1.196 ),SNMP Device,98.44,29 days 12 hours 46 minutes 4 seconds ,1.56,,0 days 11 hours 13 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PTZ1 ( 172.18.0.113 ),SNMP Device,99.29,29 days 18 hours 53 minutes 16 seconds ,0.71,,0 days 5 hours 6 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-FIX1 ( 172.18.1.120 ),SNMP Device,97.07,29 days 2 hours 54 minutes 14 seconds ,2.93,,0 days 21 hours 5 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-FIX1 ( 172.18.1.241 ),SNMP Device,99.21,29 days 18 hours 18 minutes 42 seconds ,0.79,,0 days 5 hours 41 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX3 ( 172.18.1.186 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-FRC-FIX1 ( 172.18.1.173 ),SNMP Device,98.95,29 days 16 hours 26 minutes 23 seconds ,1.05,,0 days 7 hours 33 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-FIX1 ( 172.18.1.181 ),SNMP Device,99.02,29 days 16 hours 56 minutes 37 seconds ,0.98,,0 days 7 hours 3 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-PTZ1 ( 172.18.0.125 ),SNMP Device,98.57,29 days 13 hours 42 minutes 14 seconds ,1.43,,0 days 10 hours 17 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CIMS-FIX2 ( 172.18.1.222 ),SNMP Device,99.08,29 days 17 hours 22 minutes 33 seconds ,0.92,,0 days 6 hours 37 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX2 ( 172.18.1.185 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MMT-FIX3 ( 172.18.1.190 ),SNMP Device,98.84,29 days 15 hours 38 minutes 52 seconds ,1.16,,0 days 8 hours 21 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-FIX2 ( 172.18.1.135 ),SNMP Device,95.64,28 days 16 hours 36 minutes 28 seconds ,4.36,,1 days 7 hours 23 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-FIX2 ( 172.18.1.128 ),SNMP Device,98.85,29 days 15 hours 43 minutes 11 seconds ,1.15,,0 days 8 hours 16 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-FIX2 ( 172.18.1.189 ),SNMP Device,98.85,29 days 15 hours 43 minutes 11 seconds ,1.15,,0 days 8 hours 16 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-FIX2 ( 172.18.1.208 ),SNMP Device,99.48,29 days 20 hours 15 minutes 21 seconds ,0.52,,0 days 3 hours 44 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DDG-FIX2 ( 172.18.1.216 ),SNMP Device,98.83,29 days 15 hours 34 minutes 33 seconds ,1.17,,0 days 8 hours 25 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
