Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,98.8,29 days 15 hours 12 minutes 59 seconds ,1.2,,0 days 8 hours 38 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 56 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.51,29 days 20 hours 24 minutes 14 seconds ,0.49,,0 days 3 hours 31 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 51 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,94.04,28 days 5 hours 0 minutes 45 seconds ,5.96,,1 days 18 hours 54 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,54.3,16 days 6 hours 55 minutes 47 seconds ,45.7,,13 days 17 hours 0 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,92.54,27 days 18 hours 13 minutes 28 seconds ,7.46,,2 days 5 hours 42 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 50 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,97,29 days 2 hours 19 minutes 31 seconds ,3,,0 days 21 hours 35 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 40 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,99.42,29 days 19 hours 40 minutes 15 seconds ,0.58,,0 days 4 hours 10 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,27.29,8 days 4 hours 27 minutes 58 seconds ,72.71,,21 days 19 hours 27 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,99.69,29 days 21 hours 36 minutes 52 seconds ,0.31,,0 days 2 hours 13 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC1 ( 172.22.2.147 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 55 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC2 ( 172.22.2.152 ),Ping,93.98,28 days 4 hours 30 minutes 40 seconds ,6.02,,1 days 19 hours 20 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-EC3 ( 172.22.2.129 ),Ping,99.17,29 days 17 hours 52 minutes 16 seconds ,0.83,,0 days 5 hours 58 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC3 ( 172.22.2.111 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,55.09,,16 days 12 hours 36 minutes 46 seconds ,44.91,13 days 11 hours 19 minutes 24 seconds 
BSCL-NC-RLVD-EC2 ( 172.22.2.140 ),Ping,97.24,29 days 4 hours 3 minutes 57 seconds ,2.76,,0 days 19 hours 52 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC2 ( 172.22.2.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 40 seconds 
BSCL-MPC-RLVD-EC4 ( 172.22.2.130 ),Ping,99.26,29 days 18 hours 36 minutes 31 seconds ,0.74,,0 days 5 hours 19 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-EC3 ( 172.22.2.141 ),Ping,97.24,29 days 4 hours 7 minutes 40 seconds ,2.76,,0 days 19 hours 52 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC1 ( 172.22.2.135 ),Ping,98.89,29 days 15 hours 57 minutes 11 seconds ,1.11,,0 days 7 hours 59 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC1 ( 172.22.2.105 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 23 seconds 
BSCL-TBC-RLVD-EC1 ( 172.22.2.171 ),Ping,99.51,29 days 20 hours 19 minutes 26 seconds ,0.49,,0 days 3 hours 31 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC2 ( 172.22.2.187 ),Ping,3.91,1 days 4 hours 8 minutes 58 seconds ,96.09,,28 days 19 hours 47 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC4 ( 172.22.2.123 ),Ping,96.09,28 days 19 hours 46 minutes 15 seconds ,3.91,,1 days 4 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC1 ( 172.22.2.175 ),Ping,99.76,29 days 22 hours 7 minutes 6 seconds ,0.24,,0 days 1 hours 43 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC3 ( 172.22.2.157 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 56 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC2 ( 172.22.2.156 ),Ping,98.99,29 days 16 hours 34 minutes 31 seconds ,1.01,,0 days 7 hours 16 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
