Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,99.86,29 days 22 hours 56 minutes 12 seconds ,,0.14,0 days 1 hours 0 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.92,29 days 23 hours 20 minutes 38 seconds ,,0.08,0 days 0 hours 34 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,99.21,29 days 18 hours 10 minutes 3 seconds ,,0.79,0 days 5 hours 41 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,97.23,29 days 3 hours 58 minutes 41 seconds ,,2.77,0 days 19 hours 56 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,96.11,28 days 19 hours 54 minutes 54 seconds ,,3.89,1 days 4 hours 0 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,0,0 days 0 hours 0 minutes 0 seconds,,100,29 days 23 hours 55 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,97.21,29 days 3 hours 47 minutes 30 seconds ,,2.79,0 days 20 hours 5 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Nov  2023 12:00:00 AM To 14 Dec  2023 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,84.19,,,,
Down (%),,,,,15.81,,,,
