Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,76.93,,,
Maintenance (%),,,,,17.65,,,
Down (%),,,,,5.43,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,98.66,14 days 14 hours 13 minutes 49 seconds ,1.34,,0 days 4 hours 45 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,99.97,16 days 23 hours 47 minutes 46 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,96.8,16 days 10 hours 52 minutes 52 seconds ,3.2,,0 days 13 hours 3 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.11,15 days 12 hours 48 minutes 45 seconds ,0.89,,0 days 3 hours 20 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.96,15 days 16 hours 0 minutes 35 seconds ,0.04,,0 days 0 hours 9 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,24.59,4 days 4 hours 18 minutes 34 seconds ,75.41,,12 days 19 hours 37 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,99.97,16 days 23 hours 48 minutes 18 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.96,15 days 17 hours 49 minutes 22 seconds ,0.04,,0 days 0 hours 9 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,99.91,14 days 18 hours 40 minutes 3 seconds ,0.09,,0 days 0 hours 19 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,99.12,16 days 20 hours 19 minutes 43 seconds ,0.88,,0 days 3 hours 35 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,99.76,16 days 22 hours 57 minutes 22 seconds ,0.24,,0 days 0 hours 58 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 56 minutes 19 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,99.94,16 days 23 hours 41 minutes 17 seconds ,0.06,,0 days 0 hours 14 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
