Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,72.39,,,
Maintenance (%),,,,,21.48,,,
Down (%),,,,,6.13,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,99.93,15 days 15 hours 54 minutes 49 seconds ,0.07,,0 days 0 hours 15 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,98.66,15 days 11 hours 8 minutes 10 seconds ,1.34,,0 days 5 hours 2 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,99.7,16 days 22 hours 46 minutes 33 seconds ,0.3,,0 days 1 hours 13 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,99.86,15 days 15 hours 40 minutes 1 seconds ,0.14,,0 days 0 hours 31 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.97,16 days 23 hours 52 minutes 38 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,98.95,15 days 12 hours 13 minutes 38 seconds ,1.05,,0 days 3 hours 56 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,97.46,16 days 13 hours 38 minutes 12 seconds ,2.54,,0 days 10 hours 21 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,98.3,16 days 17 hours 3 minutes 50 seconds ,1.7,,0 days 6 hours 56 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,100,,16 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,100,9 days 12 hours 11 minutes 56 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
