Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,97.7,16 days 14 hours 32 minutes 43 seconds ,2.3,,0 days 9 hours 22 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,14 days 18 hours 59 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.97,16 days 23 hours 48 minutes 18 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,15 days 16 hours 9 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,99.97,16 days 23 hours 47 minutes 46 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,16 days 23 hours 56 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,99.37,14 days 16 hours 45 minutes 2 seconds ,0.63,,0 days 2 hours 14 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 56 minutes 19 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,99.11,16 days 20 hours 17 minutes 49 seconds ,0.89,,0 days 3 hours 37 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,15 days 16 hours 9 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,98.98,16 days 19 hours 46 minutes 27 seconds ,1.02,,0 days 4 hours 9 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 55 minutes 26 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,99.11,15 days 12 hours 48 minutes 45 seconds ,0.89,,0 days 3 hours 20 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,96.55,16 days 9 hours 50 minutes 44 seconds ,3.45,,0 days 14 hours 4 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,87.47,13 days 17 hours 1 minutes 39 seconds ,12.53,,1 days 23 hours 7 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
