Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,99.96,15 days 15 hours 55 minutes 13 seconds ,0.04,,0 days 0 hours 9 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,89.84,15 days 6 hours 28 minutes 26 seconds ,10.16,,1 days 17 hours 26 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,86.3,13 days 12 hours 37 minutes 35 seconds ,13.7,,2 days 3 hours 32 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,97.19,16 days 12 hours 27 minutes 53 seconds ,2.81,,0 days 11 hours 27 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,99.66,16 days 22 hours 32 minutes 54 seconds ,0.34,,0 days 1 hours 23 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,99.97,16 days 23 hours 48 minutes 46 seconds ,0.03,,0 days 0 hours 7 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,95.89,,,
Down (%),,,,,4.11,,,
