Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,100,14 days 18 hours 59 minutes 13 seconds ,,0,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,96.71,16 days 10 hours 29 minutes 53 seconds ,,3.29,0 days 13 hours 25 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,97.91,16 days 15 hours 24 minutes 7 seconds ,,2.09,0 days 8 hours 31 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,99.15,16 days 20 hours 27 minutes 5 seconds ,,0.85,0 days 3 hours 28 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,99.34,16 days 21 hours 13 minutes 35 seconds ,,0.66,0 days 2 hours 41 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,69.72,11 days 20 hours 24 minutes 25 seconds ,,30.28,5 days 3 hours 31 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.15,16 days 20 hours 27 minutes 37 seconds ,,0.85,0 days 3 hours 28 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,94.2,,,,
Down (%),,,,,5.8,,,,
