Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,79.95,,,
Maintenance (%),,,,,14.71,,,
Down (%),,,,,5.34,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,99,12 days 6 hours 33 minutes 58 seconds ,1,,0 days 2 hours 58 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,99.98,13 days 23 hours 46 minutes 48 seconds ,0.02,,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,22.07,3 days 2 hours 7 minutes 33 seconds ,26.96,,3 days 18 hours 32 minutes 58 seconds ,50.97,7 days 3 hours 11 minutes 28 seconds 
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.78,12 days 8 hours 50 minutes 43 seconds ,0.22,,0 days 0 hours 39 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.93,12 days 9 hours 17 minutes 29 seconds ,0.07,,0 days 0 hours 12 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,90.66,12 days 16 hours 37 minutes 3 seconds ,9.34,,1 days 7 hours 22 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,99.96,13 days 23 hours 47 minutes 15 seconds ,0.04,,0 days 0 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.95,12 days 9 hours 21 minutes 4 seconds ,0.05,,0 days 0 hours 8 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,99.54,12 days 8 hours 10 minutes 22 seconds ,0.46,,0 days 1 hours 22 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,99.07,13 days 20 hours 47 minutes 53 seconds ,0.93,,0 days 3 hours 7 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,99.95,13 days 23 hours 46 minutes 15 seconds ,0.05,,0 days 0 hours 10 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 33 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,99.65,13 days 22 hours 39 minutes 58 seconds ,0.35,,0 days 1 hours 10 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 59 minutes 59 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,99.13,12 days 6 hours 57 minutes 10 seconds ,0.87,,0 days 2 hours 35 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,98.1,13 days 17 hours 33 minutes 33 seconds ,1.9,,0 days 6 hours 22 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 33 seconds 
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,98.21,13 days 17 hours 54 minutes 32 seconds ,1.79,,0 days 6 hours 0 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,98.96,13 days 20 hours 26 minutes 42 seconds ,1.04,,0 days 3 hours 29 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,99.56,12 days 8 hours 11 minutes 27 seconds ,0.44,,0 days 1 hours 18 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,99.98,13 days 23 hours 51 minutes 18 seconds ,0.02,,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,99.95,12 days 9 hours 21 minutes 4 seconds ,0.05,,0 days 0 hours 8 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,99.95,12 days 9 hours 23 minutes 33 seconds ,0.05,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,98.71,13 days 19 hours 36 minutes 19 seconds ,1.29,,0 days 4 hours 20 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,99.53,13 days 22 hours 25 minutes 14 seconds ,0.47,,0 days 1 hours 34 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR6 ( 172.22.0.178 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 55 minutes 16 seconds 
BSCL-HC-RLVD-ANPR1 ( 172.22.0.58 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 55 minutes 33 seconds 
BSCL-GNC-RLVD-ANPR1 ( 172.22.0.89 ),Ping,99.93,12 days 9 hours 17 minutes 29 seconds ,0.07,,0 days 0 hours 12 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR2 ( 172.22.0.232 ),Ping,98.93,12 days 6 hours 18 minutes 59 seconds ,1.07,,0 days 3 hours 11 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR1 ( 172.22.0.213 ),Ping,99.96,13 days 23 hours 47 minutes 15 seconds ,0.04,,0 days 0 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-ANPR2 ( 172.22.0.51 ),Ping,89.95,11 days 3 hours 38 minutes 19 seconds ,6.02,,0 days 17 hours 54 minutes 43 seconds ,4.03,0 days 11 hours 59 minutes 27 seconds 
BSCL-CMD-RLVD-ANPR5 ( 172.22.0.71 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 33 seconds 
BSCL-OBS-RLVD-ANPR3 ( 172.22.0.137 ),Ping,21.32,2 days 23 hours 36 minutes 11 seconds ,29.56,,4 days 3 hours 16 minutes 38 seconds ,49.12,6 days 20 hours 58 minutes 10 seconds 
BSCL-VRP-RLVD-ANPR2 ( 172.22.0.168 ),Ping,98.69,12 days 5 hours 38 minutes 37 seconds ,1.31,,0 days 3 hours 53 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
