Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.71,,,
Maintenance (%),,,,,16.09,,,
Down (%),,,,,3.2,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,99.12,12 days 6 hours 55 minutes 23 seconds ,0.88,,0 days 2 hours 37 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 3 seconds 
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,99.54,12 days 8 hours 10 minutes 22 seconds ,0.46,,0 days 1 hours 22 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,74.5,10 days 10 hours 16 minutes 28 seconds ,25.5,,3 days 13 hours 39 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,99.91,13 days 23 hours 38 minutes 12 seconds ,0.09,,0 days 0 hours 18 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,99.92,12 days 9 hours 18 minutes 12 seconds ,0.08,,0 days 0 hours 14 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,89.17,11 days 1 hours 13 minutes 51 seconds ,6.81,,0 days 20 hours 15 minutes 21 seconds ,4.02,0 days 11 hours 57 minutes 26 seconds 
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,99.95,12 days 9 hours 19 minutes 4 seconds ,0.05,,0 days 0 hours 8 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,99.66,13 days 22 hours 46 minutes 47 seconds ,0.34,,0 days 1 hours 8 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,99.49,13 days 22 hours 13 minutes 32 seconds ,0.51,,0 days 1 hours 42 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.91,13 days 23 hours 41 minutes 50 seconds ,0.09,,0 days 0 hours 18 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,99.98,13 days 23 hours 51 minutes 56 seconds ,0.02,,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 46 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,21.34,2 days 23 hours 40 minutes 39 seconds ,28.64,,4 days 0 hours 11 minutes 49 seconds ,50.02,7 days 0 hours 0 minutes 31 seconds 
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,98.97,13 days 20 hours 32 minutes 20 seconds ,1.03,,0 days 3 hours 27 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,99.98,13 days 23 hours 51 minutes 18 seconds ,0.02,,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 3 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,98.22,12 days 4 hours 14 minutes 43 seconds ,1.78,,0 days 5 hours 17 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.8,13 days 23 hours 15 minutes 1 seconds ,0.2,,0 days 0 hours 40 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,97.61,13 days 15 hours 53 minutes 36 seconds ,2.39,,0 days 8 hours 1 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,99.01,12 days 6 hours 35 minutes 45 seconds ,0.99,,0 days 2 hours 56 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,99.55,13 days 22 hours 29 minutes 16 seconds ,0.45,,0 days 1 hours 30 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
