Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,79.1,,,
Maintenance (%),,,,,15.47,,,
Down (%),,,,,5.44,,,
Name : CCTV,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,99.57,12 days 8 hours 15 minutes 46 seconds ,0.43,,0 days 1 hours 16 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,99.02,12 days 6 hours 37 minutes 35 seconds ,0.98,,0 days 2 hours 54 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,99.96,13 days 23 hours 51 minutes 55 seconds ,0.04,,0 days 0 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,99.06,12 days 6 hours 44 minutes 40 seconds ,0.94,,0 days 2 hours 47 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.96,13 days 23 hours 51 minutes 55 seconds ,0.04,,0 days 0 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,89.47,11 days 2 hours 12 minutes 40 seconds ,6.45,,0 days 19 hours 11 minutes 29 seconds ,4.08,0 days 12 hours 8 minutes 23 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,99.88,13 days 23 hours 35 minutes 48 seconds ,0.12,,0 days 0 hours 24 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,98.76,13 days 19 hours 50 minutes 0 seconds ,1.24,,0 days 4 hours 9 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,27.86,3 days 21 hours 36 minutes 34 seconds ,72.14,,10 days 2 hours 23 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,100,13 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.96,13 days 23 hours 51 minutes 55 seconds ,0.04,,0 days 0 hours 8 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
