Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,99.93,13 days 23 hours 45 minutes 52 seconds ,0.07,,0 days 0 hours 14 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,29.93,3 days 17 hours 1 minutes 51 seconds ,70.07,,8 days 16 hours 25 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.98,13 days 23 hours 51 minutes 17 seconds ,0.02,,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,33.16,4 days 2 hours 37 minutes 34 seconds ,66.84,,8 days 6 hours 47 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,3.67,0 days 12 hours 19 minutes 42 seconds ,37.28,,5 days 5 hours 13 minutes 54 seconds ,59.05,8 days 6 hours 21 minutes 43 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,21.08,2 days 22 hours 48 minutes 57 seconds ,78.92,,11 days 1 hours 7 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,99.95,12 days 9 hours 23 minutes 33 seconds ,0.05,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,13 days 23 hours 56 minutes 33 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,99.03,13 days 20 hours 39 minutes 49 seconds ,0.97,,0 days 3 hours 15 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,27.96,3 days 11 hours 10 minutes 51 seconds ,72.04,,8 days 22 hours 19 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
