Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,99.95,12 days 9 hours 23 minutes 33 seconds ,,0.05,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.98,13 days 23 hours 51 minutes 18 seconds ,,0.02,0 days 0 hours 4 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,99.91,13 days 23 hours 37 minutes 21 seconds ,,0.09,0 days 0 hours 18 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,99.18,13 days 21 hours 10 minutes 4 seconds ,,0.82,0 days 2 hours 45 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,89.81,12 days 13 hours 41 minutes 30 seconds ,,6.32,0 days 21 hours 13 minutes 49 seconds ,3.87,0 days 13 hours 0 minutes 1 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,99.01,13 days 20 hours 35 minutes 47 seconds ,,0.99,0 days 3 hours 19 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.09,13 days 20 hours 56 minutes 32 seconds ,,0.91,0 days 3 hours 3 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 01 Jan  2024 12:00:00 AM To 14 Jan  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,98.07,,,,
Maintenance (%),,,,,0.58,,,,
Down (%),,,,,1.35,,,,
