Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.03,,,
Down (%),,,,,0.97,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,100,28 days 23 hours 56 minutes 14 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,99.95,28 days 23 hours 39 minutes 6 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,99.02,28 days 17 hours 1 minutes 53 seconds ,0.98,,0 days 6 hours 49 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55 ( 172.16.7.73 - 172.16.7.55 ),Ping,98.43,28 days 13 hours 4 minutes 21 seconds ,1.57,,0 days 10 hours 55 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,99.04,28 days 17 hours 15 minutes 23 seconds ,0.96,,0 days 6 hours 40 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,95.97,27 days 19 hours 53 minutes 28 seconds ,4.03,,1 days 4 hours 2 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,99.02,28 days 17 hours 7 minutes 1 seconds ,0.98,,0 days 6 hours 49 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,96.97,28 days 2 hours 54 minutes 39 seconds ,3.03,,0 days 21 hours 5 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,96.77,28 days 1 hours 22 minutes 31 seconds ,3.23,,0 days 22 hours 28 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,94.64,27 days 10 hours 33 minutes 13 seconds ,5.36,,1 days 13 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,99.08,28 days 17 hours 35 minutes 48 seconds ,0.92,,0 days 6 hours 24 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,98.9,28 days 16 hours 11 minutes 47 seconds ,1.1,,0 days 7 hours 39 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,100,28 days 23 hours 56 minutes 14 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,100,28 days 23 hours 56 minutes 14 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,100,28 days 23 hours 56 minutes 34 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
