Report Name : WORK STATION,,,,,,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99,,,
Down (%),,,,,1,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-ICCC-OPERATORPC2 ( 172.16.5.12 ),Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC1 ( 172.16.5.11 ),Ping,100,28 days 23 hours 51 minutes 3 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC5 ( 172.16.5.15 ),Ping,98.86,28 days 15 hours 55 minutes 6 seconds ,1.14,,0 days 7 hours 55 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION1 ( 172.25.0.11 ),Ping,97.33,28 days 5 hours 21 minutes 21 seconds ,2.67,,0 days 18 hours 34 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC13 ( 172.16.5.23 ),Ping,99.03,28 days 17 hours 14 minutes 55 seconds ,0.97,,0 days 6 hours 45 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC25 ( OperatorPC25.bscl.itms.local - 172.16.5.35 ),Ping,93.32,24 days 13 hours 0 minutes 20 seconds ,6.68,,1 days 18 hours 9 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC17 ( 172.16.5.27 ),Ping,100,28 days 23 hours 56 minutes 14 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC33 ( 172.16.5.43 ),Ping,100,28 days 23 hours 56 minutes 14 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC31 ( 172.16.5.31 ),Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC30 ( 172.16.5.40 ),Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC10 ( 172.16.5.20 ),Ping,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION4 ( 172.25.0.21 ),Ping,99.99,28 days 23 hours 46 minutes 54 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC4 ( 172.16.5.14 ),Ping,99.98,28 days 23 hours 47 minutes 53 seconds ,0.02,,0 days 0 hours 8 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC24 ( 172.16.5.34 ),Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-SIEM-PC ( 172.16.5.39 ),Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC8 ( 172.16.5.18 ),Ping,98.73,28 days 15 hours 9 minutes 38 seconds ,1.27,,0 days 8 hours 50 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC11 ( 172.16.5.21 ),Ping,98.79,28 days 15 hours 30 minutes 59 seconds ,1.21,,0 days 8 hours 25 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC22 ( 172.16.5.32 ),Ping,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC23 ( 172.16.5.33 ),Ping,93.83,27 days 5 hours 0 minutes 11 seconds ,6.17,,1 days 18 hours 56 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION2 ( 172.25.0.12 ),Ping,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC7 ( 172.16.5.17 ),Ping,98.76,28 days 15 hours 13 minutes 21 seconds ,1.24,,0 days 8 hours 37 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC16 ( 172.16.5.26 ),Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC20 ( 172.16.5.30 ),Ping,99.99,28 days 23 hours 46 minutes 54 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC9 ( 172.16.5.19 ),Ping,93.61,27 days 3 hours 28 minutes 1 seconds ,6.39,,1 days 20 hours 28 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC34 ( 172.16.5.44 ),Ping,99.98,28 days 23 hours 51 minutes 38 seconds ,0.02,,0 days 0 hours 8 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION3 ( 172.25.0.13 ),Ping,99.98,28 days 23 hours 48 minutes 7 seconds ,0.02,,0 days 0 hours 8 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC35 ( 172.16.5.45 ),Ping,97.82,28 days 8 hours 49 minutes 37 seconds ,2.18,,0 days 15 hours 10 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC15 ( 172.16.5.25 ),Ping,100,28 days 23 hours 56 minutes 35 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
-BSCL-ICCC-OperatorPC26 ( 172.16.5.36 ),Ping,98.77,19 days 2 hours 23 minutes 13 seconds ,1.23,,0 days 5 hours 42 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC14 ( 172.16.5.24 ),Ping,99.56,28 days 20 hours 56 minutes 14 seconds ,0.44,,0 days 3 hours 3 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-EMS-PC ( 172.16.5.38 ),Ping,100,28 days 23 hours 56 minutes 34 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC12 ( 172.16.5.22 ),Ping,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC19 ( 172.16.5.29 ),Ping,99.1,28 days 17 hours 44 minutes 9 seconds ,0.9,,0 days 6 hours 15 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC6 ( 172.16.5.16 ),Ping,100,28 days 23 hours 51 minutes 4 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC42 ( 172.16.5.52 ),Ping,95.55,22 days 11 hours 37 minutes 9 seconds ,4.45,,1 days 1 hours 7 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC34 ( 172.16.5.37 ),Ping,99.84,28 days 22 hours 53 minutes 10 seconds ,0.16,,0 days 1 hours 6 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
