Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,98.82,,,
Down (%),,,,,1.18,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,99.99,30 days 23 hours 47 minutes 14 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,99.82,30 days 22 hours 39 minutes 38 seconds ,0.18,,0 days 1 hours 20 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,82.51,25 days 13 hours 46 minutes 27 seconds ,17.49,,5 days 10 hours 6 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,99.97,30 days 23 hours 43 minutes 8 seconds ,0.03,,0 days 0 hours 13 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55 ( 172.16.7.73 - 172.16.7.55 ),Ping,92.28,28 days 14 hours 26 minutes 8 seconds ,7.72,,2 days 9 hours 25 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,99.99,30 days 23 hours 50 minutes 32 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,99.98,30 days 23 hours 46 minutes 16 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,99.82,30 days 22 hours 31 minutes 22 seconds ,0.18,,0 days 1 hours 20 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,99.82,30 days 22 hours 36 minutes 9 seconds ,0.18,,0 days 1 hours 20 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,99.98,30 days 23 hours 42 minutes 47 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,99.98,30 days 23 hours 42 minutes 47 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,99.81,30 days 22 hours 30 minutes 12 seconds ,0.19,,0 days 1 hours 24 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,99.98,30 days 23 hours 42 minutes 47 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,99.98,30 days 23 hours 47 minutes 36 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,99.98,30 days 23 hours 51 minutes 3 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,99.81,30 days 22 hours 35 minutes 10 seconds ,0.19,,0 days 1 hours 24 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,99.82,30 days 22 hours 36 minutes 10 seconds ,0.18,,0 days 1 hours 20 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,99.98,30 days 23 hours 47 minutes 36 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,99.98,30 days 23 hours 47 minutes 36 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,99.82,30 days 22 hours 31 minutes 22 seconds ,0.18,,0 days 1 hours 20 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,99.82,30 days 22 hours 31 minutes 22 seconds ,0.18,,0 days 1 hours 20 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,99.82,30 days 22 hours 30 minutes 42 seconds ,0.18,,0 days 1 hours 20 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
