Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,81.86,,,
Maintenance (%),,,,,17.41,,,
Down (%),,,,,0.74,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,99.76,28 days 22 hours 16 minutes 1 seconds ,0.24,,0 days 1 hours 40 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,99.45,28 days 20 hours 10 minutes 18 seconds ,0.55,,0 days 3 hours 49 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.69,28 days 21 hours 50 minutes 32 seconds ,0.31,,0 days 2 hours 9 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.31,28 days 19 hours 11 minutes 50 seconds ,0.69,,0 days 4 hours 48 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,99.68,28 days 21 hours 42 minutes 37 seconds ,0.32,,0 days 2 hours 13 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,96.76,28 days 1 hours 26 minutes 58 seconds ,3.24,,0 days 22 hours 33 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.72,28 days 22 hours 3 minutes 3 seconds ,0.28,,0 days 1 hours 56 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,99.08,28 days 17 hours 26 minutes 58 seconds ,0.92,,0 days 6 hours 24 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,99.57,28 days 21 hours 0 minutes 25 seconds ,0.43,,0 days 2 hours 59 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,99.82,28 days 22 hours 41 minutes 4 seconds ,0.18,,0 days 1 hours 15 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,99.1,28 days 17 hours 44 minutes 9 seconds ,0.9,,0 days 6 hours 15 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,99.93,28 days 23 hours 30 minutes 45 seconds ,0.07,,0 days 0 hours 29 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,99.68,28 days 21 hours 42 minutes 26 seconds ,0.32,,0 days 2 hours 13 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,98.95,28 days 16 hours 41 minutes 30 seconds ,1.05,,0 days 7 hours 18 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,99.77,28 days 22 hours 15 minutes 1 seconds ,0.23,,0 days 1 hours 36 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,99.57,28 days 21 hours 0 minutes 25 seconds ,0.43,,0 days 2 hours 59 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,97.49,28 days 6 hours 31 minutes 49 seconds ,2.51,,0 days 17 hours 28 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,99.83,28 days 22 hours 49 minutes 0 seconds ,0.17,,0 days 1 hours 11 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,98.46,28 days 13 hours 8 minutes 6 seconds ,1.54,,0 days 10 hours 42 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-ANPR3 ( 172.22.0.169 ),Ping,99.5,28 days 20 hours 27 minutes 27 seconds ,0.5,,0 days 3 hours 28 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-ANPR3 ( 172.22.0.227 ),Ping,98.77,28 days 15 hours 17 minutes 32 seconds ,1.23,,0 days 8 hours 33 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
