Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.85,,,
Maintenance (%),,,,,18.18,,,
Down (%),,,,,0.97,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,99.93,28 days 23 hours 30 minutes 45 seconds ,0.07,,0 days 0 hours 29 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,99.52,28 days 20 hours 30 minutes 40 seconds ,0.48,,0 days 3 hours 20 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,97.64,28 days 7 hours 30 minutes 47 seconds ,2.36,,0 days 16 hours 25 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,98.91,28 days 16 hours 21 minutes 6 seconds ,1.09,,0 days 7 hours 35 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,99.41,28 days 19 hours 44 minutes 44 seconds ,0.59,,0 days 4 hours 6 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,89.98,26 days 2 hours 15 minutes 38 seconds ,10.02,,2 days 21 hours 44 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,99.11,28 days 17 hours 48 minutes 19 seconds ,0.89,,0 days 6 hours 11 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,98.48,28 days 13 hours 21 minutes 32 seconds ,1.52,,0 days 10 hours 34 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.98,28 days 23 hours 48 minutes 28 seconds ,0.02,,0 days 0 hours 8 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,99.86,28 days 23 hours 1 minutes 31 seconds ,0.14,,0 days 0 hours 58 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,99.74,28 days 22 hours 11 minutes 24 seconds ,0.26,,0 days 1 hours 48 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,99.81,28 days 22 hours 37 minutes 15 seconds ,0.19,,0 days 1 hours 19 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,98.97,28 days 16 hours 46 minutes 29 seconds ,1.03,,0 days 7 hours 10 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,99.68,28 days 21 hours 46 minutes 21 seconds ,0.32,,0 days 2 hours 13 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.39,28 days 19 hours 45 minutes 15 seconds ,0.61,,0 days 4 hours 14 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,99.5,28 days 20 hours 31 minutes 11 seconds ,0.5,,0 days 3 hours 28 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,99.95,28 days 23 hours 35 minutes 41 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,98.86,28 days 16 hours 0 minutes 34 seconds ,1.14,,0 days 7 hours 56 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
