Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,99.94,28 days 23 hours 34 minutes 56 seconds ,0.06,,0 days 0 hours 25 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,98.95,28 days 16 hours 41 minutes 30 seconds ,1.05,,0 days 7 hours 18 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,99.95,28 days 23 hours 35 minutes 21 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.69,28 days 21 hours 50 minutes 32 seconds ,0.31,,0 days 2 hours 9 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.68,28 days 21 hours 37 minutes 28 seconds ,0.32,,0 days 2 hours 13 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,99.1,28 days 17 hours 40 minutes 46 seconds ,0.9,,0 days 6 hours 15 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,99.86,28 days 23 hours 1 minutes 31 seconds ,0.14,,0 days 0 hours 58 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,99.65,28 days 21 hours 33 minutes 50 seconds ,0.35,,0 days 2 hours 26 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,98.59,28 days 14 hours 7 minutes 49 seconds ,1.41,,0 days 9 hours 48 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,98.79,28 days 15 hours 30 minutes 59 seconds ,1.21,,0 days 8 hours 25 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,98.59,28 days 14 hours 7 minutes 48 seconds ,1.41,,0 days 9 hours 48 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,98.59,28 days 14 hours 7 minutes 49 seconds ,1.41,,0 days 9 hours 48 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,97.65,28 days 7 hours 35 minutes 17 seconds ,2.35,,0 days 16 hours 21 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,92.16,26 days 17 hours 22 minutes 33 seconds ,7.84,,2 days 6 hours 33 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,98.47,28 days 13 hours 17 minutes 22 seconds ,1.53,,0 days 10 hours 38 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,98.98,28 days 16 hours 54 minutes 2 seconds ,1.02,,0 days 7 hours 5 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,99.81,28 days 22 hours 40 minutes 38 seconds ,0.19,,0 days 1 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,99.02,28 days 17 hours 10 minutes 44 seconds ,0.98,,0 days 6 hours 49 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,99.74,28 days 22 hours 8 minutes 1 seconds ,0.26,,0 days 1 hours 48 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC4 ( 172.19.1.153 ),Ping,99.8,28 days 22 hours 27 minutes 34 seconds ,0.2,,0 days 1 hours 23 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC2 ( 172.19.1.127 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-MN-ATCS-VDC2 ( 172.19.1.185 ),Ping,98.78,28 days 15 hours 27 minutes 23 seconds ,1.22,,0 days 8 hours 29 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC4 ( 172.19.1.168 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-HC-ATCS-VDC3 ( 172.19.1.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-MDC-ATCS-VDC3 ( 172.19.1.135 ),Ping,99.86,28 days 23 hours 1 minutes 31 seconds ,0.14,,0 days 0 hours 58 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-VDC1 ( 172.19.1.137 ),Ping,99.11,28 days 17 hours 48 minutes 19 seconds ,0.89,,0 days 6 hours 11 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-ATCS-VDC3 ( 172.19.1.171 ),Ping,99.65,28 days 21 hours 33 minutes 50 seconds ,0.35,,0 days 2 hours 26 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-VDC4 ( 172.19.1.117 ),Ping,99.95,28 days 23 hours 35 minutes 21 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC3 ( 172.19.1.112 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-MPC-ATCS-VDC3 ( 172.19.1.131 ),Ping,99.81,28 days 22 hours 40 minutes 38 seconds ,0.19,,0 days 1 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC3 ( 172.19.1.160 ),Ping,97.69,28 days 7 hours 55 minutes 20 seconds ,2.31,,0 days 16 hours 4 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC1 ( 172.19.1.122 ),Ping,98.87,28 days 15 hours 59 minutes 17 seconds ,1.13,,0 days 7 hours 51 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC2 ( 172.19.1.111 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-FRC-ATCS-VDC1 ( 172.19.1.154 ),Ping,98.7,28 days 14 hours 48 minutes 18 seconds ,1.3,,0 days 9 hours 2 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC1 ( 172.19.1.150 ),Ping,99.82,28 days 22 hours 44 minutes 49 seconds ,0.18,,0 days 1 hours 15 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC3 ( 172.19.1.178 ),Ping,98.96,28 days 16 hours 45 minutes 41 seconds ,1.04,,0 days 7 hours 14 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-VDC2 ( 172.19.1.163 ),Ping,99.52,28 days 20 hours 35 minutes 48 seconds ,0.48,,0 days 3 hours 20 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-VDC2 ( 172.19.1.115 ),Ping,99.95,28 days 23 hours 30 minutes 11 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC1 ( 172.19.1.145 ),Ping,99.75,28 days 22 hours 12 minutes 11 seconds ,0.25,,0 days 1 hours 44 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
