Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.43,,,
Maintenance (%),,,,,20.44,,,
Down (%),,,,,1.13,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,99.14,28 days 18 hours 0 minutes 51 seconds ,0.86,,0 days 5 hours 59 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,99.08,28 days 17 hours 35 minutes 48 seconds ,0.92,,0 days 6 hours 24 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,99.81,28 days 22 hours 40 minutes 38 seconds ,0.19,,0 days 1 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,99.95,28 days 23 hours 39 minutes 6 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.99,28 days 23 hours 55 minutes 48 seconds ,0.01,,0 days 0 hours 4 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,96.43,27 days 23 hours 9 minutes 9 seconds ,3.57,,1 days 0 hours 50 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,98.81,28 days 15 hours 43 minutes 2 seconds ,1.19,,0 days 8 hours 16 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,99.68,28 days 21 hours 46 minutes 21 seconds ,0.32,,0 days 2 hours 13 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,99.06,28 days 17 hours 27 minutes 26 seconds ,0.94,,0 days 6 hours 32 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.54,28 days 20 hours 47 minutes 53 seconds ,0.46,,0 days 3 hours 12 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,97.89,28 days 9 hours 18 minutes 51 seconds ,2.11,,0 days 14 hours 41 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,97.75,28 days 8 hours 20 minutes 23 seconds ,2.25,,0 days 15 hours 39 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PTZ1 ( 172.18.0.101 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-CIMS-FIX3 ( 172.18.1.223 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-FIX2 ( 172.18.1.146 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-ICCC-SF  Board Room -1 ( 172.16.5.119 ),Ping,100,28 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX4 ( 172.18.1.167 ),SNMP Device,99.72,28 days 22 hours 3 minutes 3 seconds ,0.28,,0 days 1 hours 56 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-FIX4 ( 172.18.1.210 ),SNMP Device,98.97,28 days 16 hours 49 minutes 51 seconds ,1.03,,0 days 7 hours 10 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX1 ( 172.18.1.169 ),SNMP Device,99.8,28 days 22 hours 36 minutes 28 seconds ,0.2,,0 days 1 hours 23 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-FIX4 ( 172.18.1.187 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-CO-FIX3 ( 172.18.1.235 ),SNMP Device,97.72,28 days 8 hours 7 minutes 51 seconds ,2.28,,0 days 15 hours 52 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-FIX2 ( 172.18.1.196 ),SNMP Device,98.77,28 days 15 hours 26 minutes 20 seconds ,1.23,,0 days 8 hours 33 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PTZ1 ( 172.18.0.113 ),SNMP Device,98.46,28 days 13 hours 16 minutes 53 seconds ,1.54,,0 days 10 hours 43 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-FIX1 ( 172.18.1.120 ),SNMP Device,99.95,28 days 23 hours 39 minutes 6 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-FIX1 ( 172.18.1.241 ),SNMP Device,98.78,28 days 15 hours 30 minutes 31 seconds ,1.22,,0 days 8 hours 29 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
