Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,77.75,,,
Maintenance (%),,,,,21.73,,,
Down (%),,,,,0.52,,,
Name : PAS,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,99.29,28 days 18 hours 59 minutes 46 seconds ,0.71,,0 days 4 hours 56 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,98.28,28 days 12 hours 1 minutes 43 seconds ,1.72,,0 days 11 hours 58 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,99.4,28 days 19 hours 49 minutes 26 seconds ,0.6,,0 days 4 hours 10 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,99.66,28 days 21 hours 38 minutes 0 seconds ,0.34,,0 days 2 hours 21 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,99.43,28 days 20 hours 1 minutes 57 seconds ,0.57,,0 days 3 hours 58 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-PA ( 172.21.0.51 ),Ping,99.23,28 days 18 hours 38 minutes 26 seconds ,0.77,,0 days 5 hours 21 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,99.34,28 days 19 hours 15 minutes 31 seconds ,0.66,,0 days 4 hours 35 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,99.52,28 days 20 hours 35 minutes 48 seconds ,0.48,,0 days 3 hours 20 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,99.71,28 days 21 hours 55 minutes 29 seconds ,0.29,,0 days 2 hours 1 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,99.78,28 days 22 hours 28 minutes 7 seconds ,0.22,,0 days 1 hours 31 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-ST-PA ( 172.21.0.21 ),Ping,99.8,28 days 22 hours 27 minutes 34 seconds ,0.2,,0 days 1 hours 23 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,98.78,28 days 15 hours 26 minutes 49 seconds ,1.22,,0 days 8 hours 29 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,99.69,28 days 21 hours 46 minutes 47 seconds ,0.31,,0 days 2 hours 9 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,98.58,28 days 13 hours 58 minutes 12 seconds ,1.42,,0 days 9 hours 52 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,99.58,28 days 21 hours 1 minutes 11 seconds ,0.42,,0 days 2 hours 55 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-MDC-PA ( 172.21.0.15 ),Ping,99.63,28 days 21 hours 25 minutes 28 seconds ,0.37,,0 days 2 hours 34 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,98.82,28 days 15 hours 38 minutes 24 seconds ,1.18,,0 days 8 hours 12 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,99.47,28 days 20 hours 9 minutes 47 seconds ,0.53,,0 days 3 hours 41 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
