Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,99.02,28 days 17 hours 1 minutes 54 seconds ,0.98,,0 days 6 hours 49 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,98.56,28 days 13 hours 58 minutes 38 seconds ,1.44,,0 days 10 hours 1 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,98.89,28 days 16 hours 16 minutes 27 seconds ,1.11,,0 days 7 hours 43 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,98.44,28 days 13 hours 4 minutes 50 seconds ,1.56,,0 days 10 hours 51 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,98.79,28 days 15 hours 30 minutes 48 seconds ,1.21,,0 days 8 hours 25 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,96.86,28 days 2 hours 5 minutes 25 seconds ,3.14,,0 days 21 hours 51 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,99.81,28 days 22 hours 40 minutes 38 seconds ,0.19,,0 days 1 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,99.61,28 days 21 hours 17 minutes 7 seconds ,0.39,,0 days 2 hours 42 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,99.95,28 days 23 hours 35 minutes 21 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,99.7,28 days 21 hours 54 minutes 42 seconds ,0.3,,0 days 2 hours 5 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,95.82,27 days 18 hours 54 minutes 25 seconds ,4.18,,1 days 5 hours 5 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,92.18,26 days 17 hours 34 minutes 21 seconds ,7.82,,2 days 6 hours 25 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC1 ( 172.22.2.147 ),Ping,98.77,28 days 15 hours 26 minutes 20 seconds ,1.23,,0 days 8 hours 33 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC2 ( 172.22.2.152 ),Ping,97.69,28 days 7 hours 55 minutes 20 seconds ,2.31,,0 days 16 hours 4 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-EC3 ( 172.22.2.129 ),Ping,99.64,28 days 21 hours 29 minutes 39 seconds ,0.36,,0 days 2 hours 30 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC3 ( 172.22.2.111 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-NC-RLVD-EC2 ( 172.22.2.140 ),Ping,99.93,28 days 23 hours 21 minutes 51 seconds ,0.07,,0 days 0 hours 29 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC2 ( 172.22.2.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-MPC-RLVD-EC4 ( 172.22.2.130 ),Ping,98.31,28 days 12 hours 10 minutes 33 seconds ,1.69,,0 days 11 hours 45 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-EC3 ( 172.22.2.141 ),Ping,99.93,28 days 23 hours 30 minutes 45 seconds ,0.07,,0 days 0 hours 29 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC1 ( 172.22.2.135 ),Ping,99.08,28 days 17 hours 26 minutes 58 seconds ,0.92,,0 days 6 hours 24 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC1 ( 172.22.2.105 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-TBC-RLVD-EC1 ( 172.22.2.171 ),Ping,98.96,28 days 16 hours 45 minutes 41 seconds ,1.04,,0 days 7 hours 14 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC2 ( 172.22.2.187 ),Ping,99.23,28 days 18 hours 34 minutes 43 seconds ,0.77,,0 days 5 hours 21 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC4 ( 172.22.2.123 ),Ping,99.02,28 days 17 hours 10 minutes 44 seconds ,0.98,,0 days 6 hours 49 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC1 ( 172.22.2.175 ),Ping,98.56,28 days 13 hours 58 minutes 38 seconds ,1.44,,0 days 10 hours 1 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC3 ( 172.22.2.157 ),Ping,99.49,28 days 20 hours 23 minutes 37 seconds ,0.51,,0 days 3 hours 32 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-RLVD-EC2 ( 172.22.2.156 ),Ping,99.51,28 days 20 hours 35 minutes 22 seconds ,0.49,,0 days 3 hours 24 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-EC1 ( 172.22.2.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 56 minutes 31 seconds 
BSCL-SC-RLVD-EC4 ( 172.22.2.146 ),Ping,99.75,28 days 22 hours 12 minutes 26 seconds ,0.25,,0 days 1 hours 44 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-EC2 ( 172.22.2.182 ),Ping,90.95,26 days 9 hours 0 minutes 42 seconds ,9.05,,2 days 14 hours 59 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC4 ( 172.22.2.170 ),Ping,99.64,28 days 21 hours 29 minutes 39 seconds ,0.36,,0 days 2 hours 30 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC1 ( 172.22.2.109 ),Ping,99.89,28 days 23 hours 10 minutes 53 seconds ,0.11,,0 days 0 hours 45 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC2 ( 172.22.2.136 ),Ping,99.14,28 days 17 hours 57 minutes 28 seconds ,0.86,,0 days 5 hours 59 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-EC2 ( 172.22.2.125 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-TBC-RLVD-EC2 ( 172.22.2.172 ),Ping,98.96,28 days 16 hours 45 minutes 41 seconds ,1.04,,0 days 7 hours 14 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC1 ( 172.22.2.151 ),Ping,97.68,28 days 7 hours 51 minutes 9 seconds ,2.32,,0 days 16 hours 8 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-EC2 ( 172.22.2.110 ),Ping,99.93,28 days 23 hours 30 minutes 45 seconds ,0.07,,0 days 0 hours 29 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC2 ( 172.22.2.121 ),Ping,96.87,28 days 2 hours 4 minutes 16 seconds ,3.13,,0 days 21 hours 46 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC1 ( 172.22.2.167 ),Ping,98.9,28 days 16 hours 11 minutes 48 seconds ,1.1,,0 days 7 hours 39 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC4 ( 172.22.2.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-RLVD-EC1 ( 172.22.2.124 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-MDC-RLVD-EC2 ( 172.22.2.132 ),Ping,99.86,28 days 23 hours 1 minutes 31 seconds ,0.14,,0 days 0 hours 58 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-EC3 ( 172.22.2.119 ),Ping,99.7,28 days 21 hours 54 minutes 42 seconds ,0.3,,0 days 2 hours 5 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-EC4 ( 172.22.2.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-NC-RLVD-EC1 ( 172.22.2.139 ),Ping,99.89,28 days 23 hours 14 minutes 3 seconds ,0.11,,0 days 0 hours 45 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC1 ( 172.22.2.158 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-MPC-RLVD-EC1 ( 172.22.2.127 ),Ping,99.77,28 days 22 hours 15 minutes 2 seconds ,0.23,,0 days 1 hours 36 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-EC4 ( 172.22.2.134 ),Ping,99.81,28 days 22 hours 40 minutes 38 seconds ,0.19,,0 days 1 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC4 ( 172.22.2.138 ),Ping,99.07,28 days 17 hours 27 minutes 54 seconds ,0.93,,0 days 6 hours 28 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-RLVD-EC4 ( 172.22.2.142 ),Ping,99.72,28 days 21 hours 54 minutes 9 seconds ,0.28,,0 days 1 hours 56 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-EC1 ( 172.22.2.143 ),Ping,99.77,28 days 22 hours 20 minutes 12 seconds ,0.23,,0 days 1 hours 36 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-RLVD-EC1 ( 172.22.2.120 ),Ping,98.94,28 days 16 hours 33 minutes 57 seconds ,1.06,,0 days 7 hours 22 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC1 ( 172.22.2.113 ),Ping,99.95,28 days 23 hours 35 minutes 21 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-RLVD-EC3 ( 172.22.2.166 ),Ping,99.26,28 days 18 hours 50 minutes 58 seconds ,0.74,,0 days 5 hours 9 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC3 ( 172.22.2.149 ),Ping,98.49,28 days 13 hours 20 minutes 38 seconds ,1.51,,0 days 10 hours 30 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC2 ( 172.22.2.114 ),Ping,99.95,28 days 23 hours 39 minutes 6 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-RLVD-EC2 ( 172.22.2.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 51 minutes 3 seconds 
BSCL-GC-RLVD-EC1 ( 172.22.2.117 ),Ping,99.68,28 days 21 hours 37 minutes 28 seconds ,0.32,,0 days 2 hours 13 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-EC3 ( 172.22.2.126 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,28 days 23 hours 59 minutes 59 seconds 
BSCL-DNC-RLVD-EC4 ( 172.22.2.116 ),Ping,99.95,28 days 23 hours 39 minutes 6 seconds ,0.05,,0 days 0 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC2 ( 172.22.2.168 ),Ping,99.58,28 days 20 hours 55 minutes 43 seconds ,0.42,,0 days 2 hours 55 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-RLVD-EC1 ( 172.22.2.181 ),Ping,98.81,28 days 15 hours 39 minutes 20 seconds ,1.19,,0 days 8 hours 16 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-EC3 ( 172.22.2.137 ),Ping,99.11,28 days 17 hours 48 minutes 19 seconds ,0.89,,0 days 6 hours 11 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC1 ( 172.22.2.186 ),Ping,99.71,28 days 21 hours 55 minutes 28 seconds ,0.29,,0 days 2 hours 1 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
