Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.24,,,
Maintenance (%),,,,,16.62,,,
Down (%),,,,,3.14,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,96.57,29 days 22 hours 19 minutes 52 seconds ,3.43,,1 days 1 hours 30 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,99.96,30 days 23 hours 38 minutes 9 seconds ,0.04,,0 days 0 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,94.35,29 days 5 hours 54 minutes 33 seconds ,5.65,,1 days 18 hours 1 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.84,30 days 22 hours 40 minutes 16 seconds ,0.16,,0 days 1 hours 11 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,99.61,30 days 21 hours 2 minutes 26 seconds ,0.39,,0 days 2 hours 54 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,94.18,29 days 4 hours 33 minutes 12 seconds ,5.82,,1 days 19 hours 17 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,99.08,30 days 17 hours 9 minutes 18 seconds ,0.92,,0 days 6 hours 50 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.98,30 days 23 hours 42 minutes 46 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,98.83,30 days 15 hours 17 minutes 42 seconds ,1.17,,0 days 8 hours 42 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,96.59,29 days 22 hours 33 minutes 26 seconds ,3.41,,1 days 1 hours 22 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
