Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,4.63,1 days 10 hours 26 minutes 40 seconds ,95.37,,29 days 13 hours 29 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,99.8,30 days 22 hours 23 minutes 26 seconds ,0.2,,0 days 1 hours 29 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 13 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,96.32,29 days 20 hours 27 minutes 49 seconds ,3.68,,1 days 3 hours 22 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 56 minutes 13 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 56 minutes 43 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,15.95,4 days 22 hours 38 minutes 42 seconds ,1.73,,0 days 12 hours 52 minutes 7 seconds ,82.32,25 days 12 hours 20 minutes 31 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.84,30 days 22 hours 40 minutes 16 seconds ,0.16,,0 days 1 hours 11 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.8,30 days 22 hours 30 minutes 42 seconds ,0.2,,0 days 1 hours 29 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,89.71,27 days 19 hours 18 minutes 58 seconds ,10.29,,3 days 4 hours 32 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,99.64,30 days 21 hours 11 minutes 2 seconds ,0.36,,0 days 2 hours 40 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,99.28,30 days 18 hours 30 minutes 21 seconds ,0.72,,0 days 5 hours 21 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,99.18,30 days 17 hours 49 minutes 31 seconds ,0.82,,0 days 6 hours 6 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,44.42,13 days 18 hours 24 minutes 57 seconds ,55.58,,17 days 5 hours 25 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,99.16,30 days 17 hours 35 minutes 38 seconds ,0.84,,0 days 6 hours 14 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,99.2,30 days 17 hours 58 minutes 26 seconds ,0.8,,0 days 5 hours 57 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,97.46,30 days 4 hours 57 minutes 54 seconds ,2.54,,0 days 18 hours 53 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,96.28,29 days 20 hours 14 minutes 45 seconds ,3.72,,1 days 3 hours 40 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,98.16,30 days 10 hours 13 minutes 54 seconds ,1.84,,0 days 13 hours 41 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,99.42,30 days 19 hours 32 minutes 49 seconds ,0.58,,0 days 4 hours 18 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,96.53,29 days 22 hours 2 minutes 59 seconds ,3.47,,1 days 1 hours 48 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,15.93,4 days 22 hours 29 minutes 57 seconds ,1.75,,0 days 13 hours 1 minutes 4 seconds ,82.32,25 days 12 hours 21 minutes 29 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,99.43,30 days 19 hours 41 minutes 5 seconds ,0.57,,0 days 4 hours 14 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,63.45,19 days 15 hours 59 minutes 2 seconds ,36.55,,11 days 7 hours 53 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
