Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,76.97,,,
Maintenance (%),,,,,19.38,,,
Down (%),,,,,3.64,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,98.92,30 days 15 hours 57 minutes 52 seconds ,1.08,,0 days 8 hours 2 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,96.56,29 days 22 hours 24 minutes 22 seconds ,3.44,,1 days 1 hours 35 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,99.19,30 days 17 hours 58 minutes 24 seconds ,0.81,,0 days 6 hours 1 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,96.33,29 days 20 hours 41 minutes 42 seconds ,3.67,,1 days 3 hours 18 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,15.92,4 days 22 hours 26 minutes 41 seconds ,1.76,,0 days 13 hours 5 minutes 40 seconds ,82.32,25 days 12 hours 27 minutes 38 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,99.59,30 days 20 hours 56 minutes 58 seconds ,0.41,,0 days 3 hours 3 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,92.5,28 days 16 hours 11 minutes 59 seconds ,7.5,,2 days 7 hours 48 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,99.78,30 days 22 hours 21 minutes 47 seconds ,0.22,,0 days 1 hours 38 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,99.98,30 days 23 hours 51 minutes 3 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,99.68,30 days 21 hours 37 minutes 8 seconds ,0.32,,0 days 2 hours 22 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,57.59,17 days 20 hours 28 minutes 10 seconds ,42.41,,13 days 3 hours 31 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,99.47,30 days 20 hours 3 minutes 24 seconds ,0.53,,0 days 3 hours 56 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
