Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,77.79,,,
Maintenance (%),,,,,20.97,,,
Down (%),,,,,1.24,,,
Name : PAS,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,99.05,30 days 16 hours 47 minutes 42 seconds ,0.95,,0 days 7 hours 4 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,98.98,30 days 16 hours 24 minutes 39 seconds ,1.02,,0 days 7 hours 35 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,99.53,30 days 20 hours 25 minutes 43 seconds ,0.47,,0 days 3 hours 29 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,96.23,29 days 19 hours 52 minutes 45 seconds ,3.77,,1 days 4 hours 2 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,99.64,30 days 21 hours 11 minutes 2 seconds ,0.36,,0 days 2 hours 40 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-PA ( 172.21.0.51 ),Ping,99.53,30 days 20 hours 30 minutes 11 seconds ,0.47,,0 days 3 hours 29 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,99.55,30 days 20 hours 39 minutes 6 seconds ,0.45,,0 days 3 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,96.34,29 days 20 hours 38 minutes 11 seconds ,3.66,,1 days 3 hours 13 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 56 minutes 43 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,96,29 days 18 hours 6 minutes 46 seconds ,4,,1 days 5 hours 45 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,99.85,30 days 22 hours 45 minutes 35 seconds ,0.15,,0 days 1 hours 6 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 51 minutes 12 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 51 minutes 42 seconds 
BSCL-ST-PA ( 172.21.0.21 ),Ping,99.74,30 days 22 hours 3 minutes 55 seconds ,0.26,,0 days 1 hours 56 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,99.14,30 days 17 hours 27 minutes 52 seconds ,0.86,,0 days 6 hours 23 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,96.76,29 days 23 hours 45 minutes 38 seconds ,3.24,,1 days 0 hours 6 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 28 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,97.9,30 days 8 hours 22 minutes 33 seconds ,2.1,,0 days 15 hours 37 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,98.96,30 days 16 hours 7 minutes 22 seconds ,1.04,,0 days 7 hours 44 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,15.9,4 days 22 hours 17 minutes 12 seconds ,1.78,,0 days 13 hours 14 minutes 32 seconds ,82.32,25 days 12 hours 24 minutes 47 seconds 
BSCL-MDC-PA ( 172.21.0.15 ),Ping,99.44,30 days 19 hours 41 minutes 16 seconds ,0.56,,0 days 4 hours 9 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,98.58,30 days 13 hours 26 minutes 6 seconds ,1.42,,0 days 10 hours 33 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,98.07,30 days 9 hours 38 minutes 26 seconds ,1.93,,0 days 14 hours 21 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
