Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,99.42,30 days 19 hours 37 minutes 7 seconds ,0.58,,0 days 4 hours 18 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,34.48,10 days 16 hours 30 minutes 33 seconds ,65.52,,20 days 7 hours 25 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.79,30 days 22 hours 26 minutes 15 seconds ,0.21,,0 days 1 hours 33 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,98.16,30 days 10 hours 13 minutes 54 seconds ,1.84,,0 days 13 hours 41 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 51 minutes 42 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,99.55,30 days 20 hours 29 minutes 41 seconds ,0.45,,0 days 3 hours 20 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,99.15,30 days 17 hours 31 minutes 11 seconds ,0.85,,0 days 6 hours 19 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 56 minutes 43 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,96.54,29 days 22 hours 15 minutes 27 seconds ,3.46,,1 days 1 hours 44 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,99.26,30 days 18 hours 21 minutes 25 seconds ,0.74,,0 days 5 hours 30 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-RLVD-EC3 ( 172.22.2.115 ),Ping,96.24,29 days 19 hours 56 minutes 54 seconds ,3.76,,1 days 3 hours 58 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-EC2 ( 172.22.2.159 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 43 seconds 
BSCL-GC-RLVD-EC2 ( 172.22.2.118 ),Ping,99.84,30 days 22 hours 40 minutes 16 seconds ,0.16,,0 days 1 hours 11 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-EC3 ( 172.22.2.188 ),Ping,54.38,16 days 20 hours 33 minutes 10 seconds ,45.62,,14 days 3 hours 23 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-EC3 ( 172.22.2.133 ),Ping,99.63,30 days 21 hours 6 minutes 33 seconds ,0.37,,0 days 2 hours 45 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC1 ( 172.22.2.147 ),Ping,98.14,30 days 10 hours 9 minutes 41 seconds ,1.86,,0 days 13 hours 50 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC2 ( 172.22.2.152 ),Ping,97.5,30 days 5 hours 15 minutes 54 seconds ,2.5,,0 days 18 hours 35 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-EC3 ( 172.22.2.129 ),Ping,99.17,30 days 17 hours 41 minutes 15 seconds ,0.83,,0 days 6 hours 10 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
