Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,99.79,30 days 22 hours 18 minutes 19 seconds ,0.21,,0 days 1 hours 33 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,90.23,27 days 23 hours 14 minutes 10 seconds ,9.77,,3 days 0 hours 40 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,90.24,27 days 23 hours 19 minutes 32 seconds ,9.76,,3 days 0 hours 36 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,94.45,29 days 6 hours 42 minutes 28 seconds ,5.55,,1 days 17 hours 17 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,99.25,30 days 18 hours 16 minutes 58 seconds ,0.75,,0 days 5 hours 34 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,99.25,30 days 18 hours 16 minutes 58 seconds ,0.75,,0 days 5 hours 34 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,95.53,,,
Down (%),,,,,4.47,,,
