Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,99.97,30 days 23 hours 43 minutes 8 seconds ,,0.03,0 days 0 hours 13 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.97,30 days 23 hours 38 minutes 19 seconds ,,0.03,0 days 0 hours 13 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,98.73,30 days 14 hours 29 minutes 17 seconds ,,1.27,0 days 9 hours 26 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,96.34,29 days 20 hours 38 minutes 11 seconds ,,3.66,1 days 3 hours 13 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,15.94,4 days 22 hours 34 minutes 58 seconds ,,1.78,0 days 13 hours 14 minutes 31 seconds ,82.28,25 days 12 hours 6 minutes 28 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,96.55,29 days 22 hours 19 minutes 54 seconds ,,3.45,1 days 1 hours 40 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,96.31,29 days 20 hours 29 minutes 6 seconds ,,3.69,1 days 3 hours 27 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Jan  2024 12:00:00 AM To 14 Feb  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,86.25,,,,
Maintenance (%),,,,,11.76,,,,
Down (%),,,,,1.99,,,,
