Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.22,,,
Maintenance (%),,,,,19.45,,,
Down (%),,,,,2.33,,,
Name : CCTV,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,98.2,30 days 10 hours 36 minutes 28 seconds ,1.8,,0 days 13 hours 23 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,96.24,29 days 20 hours 1 minutes 31 seconds ,3.76,,1 days 3 hours 58 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,95.94,29 days 17 hours 47 minutes 36 seconds ,4.06,,1 days 6 hours 12 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,99.37,30 days 19 hours 18 minutes 45 seconds ,0.63,,0 days 4 hours 41 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,78.3,24 days 6 hours 33 minutes 7 seconds ,0.61,,0 days 4 hours 32 minutes 18 seconds ,21.09,6 days 12 hours 54 minutes 34 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,94.33,29 days 5 hours 48 minutes 54 seconds ,5.67,,1 days 18 hours 11 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,98.59,30 days 13 hours 30 minutes 34 seconds ,1.41,,0 days 10 hours 29 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,99.43,30 days 19 hours 45 minutes 32 seconds ,0.57,,0 days 4 hours 14 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-FIX2 ( 172.18.1.139 ),SNMP Device,95.79,29 days 16 hours 40 minutes 39 seconds ,4.21,,1 days 7 hours 19 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX5 ( 172.18.1.168 ),SNMP Device,99.96,30 days 23 hours 42 minutes 8 seconds ,0.04,,0 days 0 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CO-FIX2 ( 172.18.1.234 ),SNMP Device,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PTZ1 ( 172.18.0.101 ),SNMP Device,78.3,24 days 6 hours 33 minutes 7 seconds ,0.61,,0 days 4 hours 32 minutes 18 seconds ,21.09,6 days 12 hours 54 minutes 34 seconds 
BSCL-CIMS-FIX3 ( 172.18.1.223 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-FIX2 ( 172.18.1.146 ),SNMP Device,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-ICCC-SF  Board Room -1 ( 172.16.5.119 ),Ping,100,30 days 23 hours 56 minutes 57 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-FIX4 ( 172.18.1.167 ),SNMP Device,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-FIX4 ( 172.18.1.210 ),SNMP Device,98.41,30 days 12 hours 10 minutes 13 seconds ,1.59,,0 days 11 hours 49 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX1 ( 172.18.1.169 ),SNMP Device,99.87,30 days 23 hours 1 minutes 57 seconds ,0.13,,0 days 0 hours 58 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
