Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.01,,,
Maintenance (%),,,,,18.3,,,
Down (%),,,,,1.69,,,
Name : PAS,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,96.34,29 days 20 hours 46 minutes 10 seconds ,3.66,,1 days 3 hours 13 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,94.48,29 days 6 hours 48 minutes 31 seconds ,5.52,,1 days 17 hours 3 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,99.6,30 days 20 hours 58 minutes 12 seconds ,0.4,,0 days 2 hours 58 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,99.05,30 days 16 hours 49 minutes 42 seconds ,0.95,,0 days 7 hours 4 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,99.09,30 days 17 hours 13 minutes 46 seconds ,0.91,,0 days 6 hours 46 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-PA ( 172.21.0.51 ),Ping,95.76,29 days 16 hours 24 minutes 9 seconds ,4.24,,1 days 7 hours 32 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,99.74,30 days 22 hours 3 minutes 55 seconds ,0.26,,0 days 1 hours 56 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,99.87,30 days 22 hours 58 minutes 55 seconds ,0.13,,0 days 0 hours 58 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,99.89,30 days 23 hours 10 minutes 53 seconds ,0.11,,0 days 0 hours 49 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-ST-PA ( 172.21.0.21 ),Ping,99.85,30 days 22 hours 50 minutes 0 seconds ,0.15,,0 days 1 hours 6 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,95.81,29 days 16 hours 49 minutes 34 seconds ,4.19,,1 days 7 hours 10 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,99.13,30 days 17 hours 31 minutes 37 seconds ,0.87,,0 days 6 hours 28 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,95.64,29 days 15 hours 33 minutes 41 seconds ,4.36,,1 days 8 hours 26 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,96.01,29 days 18 hours 18 minutes 51 seconds ,3.99,,1 days 5 hours 41 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,78.32,24 days 6 hours 42 minutes 2 seconds ,0.58,,0 days 4 hours 18 minutes 55 seconds ,21.1,6 days 12 hours 59 minutes 2 seconds 
BSCL-MDC-PA ( 172.21.0.15 ),Ping,93.36,28 days 22 hours 33 minutes 3 seconds ,6.64,,2 days 1 hours 23 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,98.17,30 days 10 hours 23 minutes 4 seconds ,1.83,,0 days 13 hours 36 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,99.96,30 days 23 hours 42 minutes 8 seconds ,0.04,,0 days 0 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
