Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,95.85,29 days 17 hours 4 minutes 31 seconds ,4.15,,1 days 6 hours 52 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,94.52,29 days 7 hours 13 minutes 43 seconds ,5.48,,1 days 16 hours 46 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,98.42,30 days 12 hours 11 minutes 29 seconds ,1.58,,0 days 11 hours 45 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,95.6,29 days 15 hours 15 minutes 50 seconds ,4.4,,1 days 8 hours 44 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,98.75,30 days 14 hours 38 minutes 50 seconds ,1.25,,0 days 9 hours 17 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,94.57,29 days 7 hours 36 minutes 2 seconds ,5.43,,1 days 16 hours 23 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,96.26,29 days 20 hours 4 minutes 25 seconds ,3.74,,1 days 3 hours 49 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,96.4,29 days 21 hours 12 minutes 57 seconds ,3.6,,1 days 2 hours 47 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
