Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,96.81,30 days 0 hours 15 minutes 58 seconds ,3.19,,0 days 23 hours 44 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,99.2,30 days 18 hours 2 minutes 52 seconds ,0.8,,0 days 5 hours 57 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,99.15,30 days 17 hours 40 minutes 33 seconds ,0.85,,0 days 6 hours 19 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,96.1,29 days 18 hours 55 minutes 55 seconds ,3.9,,1 days 5 hours 0 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,99.55,30 days 20 hours 39 minutes 6 seconds ,0.45,,0 days 3 hours 20 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,99.56,30 days 20 hours 43 minutes 34 seconds ,0.44,,0 days 3 hours 16 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,98.39,,,
Down (%),,,,,1.61,,,
