Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,,0.01,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.98,30 days 23 hours 51 minutes 3 seconds ,,0.02,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,95.93,29 days 17 hours 43 minutes 8 seconds ,,4.07,1 days 6 hours 16 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,97.78,30 days 7 hours 28 minutes 59 seconds ,,2.22,0 days 16 hours 31 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,78.33,24 days 6 hours 46 minutes 30 seconds ,,0.59,0 days 4 hours 23 minutes 23 seconds ,21.08,6 days 12 hours 50 minutes 7 seconds 
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,99.88,30 days 23 hours 3 minutes 11 seconds ,,0.12,0 days 0 hours 53 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.03,30 days 16 hours 46 minutes 59 seconds ,,0.97,0 days 7 hours 13 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Mar  2024 12:00:00 AM To 14 Apr  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,95.85,,,,
Maintenance (%),,,,,3.01,,,,
Down (%),,,,,1.15,,,,
