Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.91,,,
Down (%),,,,,0.09,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,99.88,29 days 23 hours 0 minutes 23 seconds ,0.12,,0 days 0 hours 51 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,99.49,29 days 20 hours 14 minutes 42 seconds ,0.51,,0 days 3 hours 40 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,100,29 days 23 hours 55 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,100,29 days 23 hours 55 minutes 2 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,99.94,29 days 23 hours 26 minutes 17 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,99.94,29 days 23 hours 34 minutes 4 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,100,29 days 23 hours 55 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55,Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,100,29 days 23 hours 55 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,99.94,29 days 23 hours 29 minutes 5 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,99.25,29 days 18 hours 28 minutes 17 seconds ,0.75,,0 days 5 hours 23 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,100,29 days 23 hours 52 minutes 12 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,99.94,29 days 23 hours 29 minutes 15 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,99.94,29 days 23 hours 29 minutes 15 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,100,29 days 23 hours 55 minutes 10 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,100,29 days 23 hours 52 minutes 12 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,99.94,29 days 23 hours 26 minutes 17 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,99.77,29 days 22 hours 20 minutes 37 seconds ,0.23,,0 days 1 hours 39 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,99.94,29 days 23 hours 34 minutes 4 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
