Report Name : WORK STATION,,,,,,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,94.31,,,
Down (%),,,,,5.69,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-ICCC-OPERATORPC2 ( 172.16.5.12 ),Ping,99.98,29 days 23 hours 43 minutes 34 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC1 ( 172.16.5.11 ),Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC5 ( 172.16.5.15 ),Ping,99.99,29 days 23 hours 50 minutes 41 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION1 ( 172.25.0.11 ),Ping,98.29,29 days 11 hours 41 minutes 16 seconds ,1.71,,0 days 12 hours 18 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC13 ( 172.16.5.23 ),Ping,86.37,25 days 21 hours 45 minutes 7 seconds ,13.63,,4 days 2 hours 7 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC25 ( OperatorPC25.bscl.itms.local - 172.16.5.35 ),Ping,99.99,29 days 23 hours 47 minutes 54 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC17 ( 172.16.5.27 ),Ping,97.16,29 days 3 hours 25 minutes 34 seconds ,2.84,,0 days 20 hours 26 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC33 ( 172.16.5.43 ),Ping,86.21,25 days 20 hours 36 minutes 0 seconds ,13.79,,4 days 3 hours 16 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC31 ( 172.16.5.31 ),Ping,86.57,25 days 23 hours 18 minutes 14 seconds ,13.43,,4 days 0 hours 41 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC30 ( 172.16.5.40 ),Ping,99.99,29 days 23 hours 48 minutes 4 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC10 ( 172.16.5.20 ),Ping,86.43,25 days 22 hours 13 minutes 26 seconds ,13.57,,4 days 1 hours 41 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION4 ( 172.25.0.21 ),Ping,98.53,29 days 13 hours 17 minutes 17 seconds ,1.47,,0 days 10 hours 34 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
