Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.34,,,
Down (%),,,,,0.66,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,99.99,30 days 23 hours 46 minutes 46 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,99.99,30 days 23 hours 50 minutes 56 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,99.79,30 days 22 hours 26 minutes 15 seconds ,0.21,,0 days 1 hours 33 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,99.62,30 days 21 hours 5 minutes 42 seconds ,0.38,,0 days 2 hours 49 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,99.62,30 days 21 hours 7 minutes 17 seconds ,0.38,,0 days 2 hours 49 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,99.99,30 days 23 hours 51 minutes 22 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,99.68,30 days 21 hours 37 minutes 8 seconds ,0.32,,0 days 2 hours 22 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55,Ping,97.97,30 days 8 hours 45 minutes 13 seconds ,2.03,,0 days 15 hours 6 minutes 1 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,99.25,30 days 18 hours 25 minutes 11 seconds ,0.75,,0 days 5 hours 34 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,95.96,29 days 17 hours 56 minutes 32 seconds ,4.04,,1 days 6 hours 3 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,99.94,30 days 23 hours 29 minutes 2 seconds ,0.06,,0 days 0 hours 26 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,99.75,30 days 22 hours 8 minutes 23 seconds ,0.25,,0 days 1 hours 51 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,98.96,30 days 16 hours 15 minutes 44 seconds ,1.04,,0 days 7 hours 44 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,99.99,30 days 23 hours 46 minutes 16 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,99.63,30 days 21 hours 14 minutes 49 seconds ,0.37,,0 days 2 hours 45 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,97.68,30 days 6 hours 39 minutes 52 seconds ,2.32,,0 days 17 hours 15 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,99.98,30 days 23 hours 51 minutes 3 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,97.4,30 days 4 hours 34 minutes 48 seconds ,2.6,,0 days 19 hours 20 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,99.65,30 days 21 hours 15 minutes 2 seconds ,0.35,,0 days 2 hours 36 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
