Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,82.35,,,
Maintenance (%),,,,,12.87,,,
Down (%),,,,,4.78,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,99.97,29 days 23 hours 39 minutes 15 seconds ,0.03,,0 days 0 hours 12 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,97.29,29 days 4 hours 29 minutes 16 seconds ,2.71,,0 days 19 hours 30 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,99.13,29 days 17 hours 39 minutes 22 seconds ,0.87,,0 days 6 hours 15 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,99.49,29 days 20 hours 19 minutes 40 seconds ,0.51,,0 days 3 hours 40 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,92.34,27 days 16 hours 43 minutes 41 seconds ,7.66,,2 days 7 hours 8 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,96.28,28 days 21 hours 8 minutes 19 seconds ,3.72,,1 days 2 hours 46 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,94.52,28 days 8 hours 25 minutes 17 seconds ,5.48,,1 days 15 hours 26 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,97.77,29 days 7 hours 49 minutes 1 seconds ,2.23,,0 days 16 hours 3 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,94.45,28 days 7 hours 57 minutes 41 seconds ,5.55,,1 days 15 hours 57 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,88.07,26 days 9 hours 59 minutes 22 seconds ,11.93,,3 days 13 hours 52 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 52 minutes 13 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,97.81,29 days 8 hours 13 minutes 54 seconds ,2.19,,0 days 15 hours 46 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-RLVD-ANPR2 ( 172.22.0.174 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 52 minutes 13 seconds 
BSCL-NC-RLVD-ANPR2 ( 172.22.0.128 ),Ping,99.79,29 days 22 hours 24 minutes 18 seconds ,0.21,,0 days 1 hours 30 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR7 ( 172.22.0.195 ),Ping,99.91,29 days 23 hours 21 minutes 6 seconds ,0.09,,0 days 0 hours 38 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-RLVD-ANPR2 ( 172.22.0.98 ),Ping,19.87,5 days 23 hours 3 minutes 12 seconds ,1.77,,0 days 12 hours 44 minutes 35 seconds ,78.36,23 days 12 hours 8 minutes 58 seconds 
BSCL-VRP-RLVD-ANPR6 ( 172.22.0.172 ),Ping,99.94,29 days 23 hours 26 minutes 18 seconds ,0.06,,0 days 0 hours 25 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-RLVD-ANPR7 ( 172.22.0.149 ),Ping,99.92,29 days 23 hours 25 minutes 25 seconds ,0.08,,0 days 0 hours 34 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-ANPR1 ( 172.22.0.197 ),Ping,94.6,28 days 8 hours 59 minutes 50 seconds ,5.4,,1 days 14 hours 52 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR6 ( 172.22.0.116 ),Ping,77.27,23 days 4 hours 20 minutes 38 seconds ,22.73,,6 days 19 hours 39 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR3 ( 172.22.0.113 ),Ping,93.56,28 days 1 hours 37 minutes 54 seconds ,6.44,,1 days 22 hours 22 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR8 ( 172.22.0.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 52 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
