Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,82.85,,,
Maintenance (%),,,,,12.35,,,
Down (%),,,,,4.8,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,99.76,29 days 22 hours 16 minutes 18 seconds ,0.24,,0 days 1 hours 43 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,26.41,7 days 22 hours 9 minutes 7 seconds ,1.88,,0 days 13 hours 32 minutes 10 seconds ,71.71,21 days 12 hours 18 minutes 42 seconds 
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,94.54,28 days 8 hours 33 minutes 55 seconds ,5.46,,1 days 15 hours 18 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,99.77,29 days 22 hours 20 minutes 37 seconds ,0.23,,0 days 1 hours 39 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,94.7,28 days 9 hours 50 minutes 23 seconds ,5.3,,1 days 14 hours 9 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,88.4,26 days 12 hours 21 minutes 55 seconds ,11.6,,3 days 11 hours 30 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,98.61,29 days 13 hours 54 minutes 45 seconds ,1.39,,0 days 10 hours 0 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,63.86,19 days 3 hours 44 minutes 26 seconds ,36.14,,10 days 20 hours 10 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,97.75,29 days 7 hours 47 minutes 59 seconds ,2.25,,0 days 16 hours 12 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,91.83,27 days 13 hours 3 minutes 24 seconds ,8.17,,2 days 10 hours 48 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.98,29 days 23 hours 51 minutes 21 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,94.74,28 days 10 hours 7 minutes 40 seconds ,5.26,,1 days 13 hours 52 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,98.99,29 days 16 hours 35 minutes 58 seconds ,1.01,,0 days 7 hours 16 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,99.93,29 days 23 hours 29 minutes 45 seconds ,0.07,,0 days 0 hours 30 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,99.51,29 days 20 hours 20 minutes 35 seconds ,0.49,,0 days 3 hours 31 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,99.72,29 days 21 hours 54 minutes 3 seconds ,0.28,,0 days 2 hours 0 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.48,29 days 20 hours 10 minutes 33 seconds ,0.52,,0 days 3 hours 44 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,83.55,25 days 1 hours 27 minutes 6 seconds ,16.45,,4 days 22 hours 25 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,99.98,29 days 23 hours 46 minutes 32 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,91.1,27 days 7 hours 50 minutes 39 seconds ,8.9,,2 days 16 hours 4 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
