Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,99.95,29 days 23 hours 33 minutes 34 seconds ,0.05,,0 days 0 hours 21 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,99.5,29 days 20 hours 16 minutes 15 seconds ,0.5,,0 days 3 hours 35 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,99.98,29 days 23 hours 46 minutes 22 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 52 minutes 13 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,98.73,29 days 14 hours 51 minutes 21 seconds ,1.27,,0 days 9 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.48,29 days 20 hours 7 minutes 37 seconds ,0.52,,0 days 3 hours 44 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.47,29 days 20 hours 3 minutes 17 seconds ,0.53,,0 days 3 hours 48 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,98.6,29 days 13 hours 47 minutes 31 seconds ,1.4,,0 days 10 hours 4 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,95.15,28 days 13 hours 4 minutes 47 seconds ,4.85,,1 days 10 hours 55 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,94.63,28 days 9 hours 20 minutes 9 seconds ,5.37,,1 days 14 hours 39 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,94.65,28 days 9 hours 24 minutes 4 seconds ,5.35,,1 days 14 hours 30 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,83.37,25 days 0 hours 11 minutes 49 seconds ,16.63,,4 days 23 hours 43 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,94.6,28 days 8 hours 59 minutes 49 seconds ,5.4,,1 days 14 hours 52 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,94.61,28 days 9 hours 11 minutes 30 seconds ,5.39,,1 days 14 hours 48 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,99.75,29 days 22 hours 4 minutes 14 seconds ,0.25,,0 days 1 hours 47 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,75.26,22 days 13 hours 52 minutes 19 seconds ,24.74,,7 days 10 hours 7 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,87.37,26 days 4 hours 59 minutes 28 seconds ,12.63,,3 days 18 hours 55 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,98.65,29 days 14 hours 16 minutes 47 seconds ,1.35,,0 days 9 hours 43 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,98.71,29 days 14 hours 35 minutes 1 seconds ,1.29,,0 days 9 hours 17 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,98.65,29 days 14 hours 11 minutes 52 seconds ,1.35,,0 days 9 hours 43 minutes 8 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,57.03,17 days 2 hours 36 minutes 57 seconds ,5.23,,1 days 13 hours 39 minutes 22 seconds ,37.74,11 days 7 hours 43 minutes 41 seconds 
BSCL-SC-ATCS-VDC4 ( 172.19.1.153 ),Ping,100,29 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC2 ( 172.19.1.127 ),Ping,26.72,8 days 0 hours 21 minutes 54 seconds ,1.77,,0 days 12 hours 44 minutes 34 seconds ,71.51,21 days 10 hours 49 minutes 17 seconds 
BSCL-MN-ATCS-VDC2 ( 172.19.1.185 ),Ping,97.84,29 days 8 hours 26 minutes 52 seconds ,2.16,,0 days 15 hours 33 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC4 ( 172.19.1.168 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-HC-ATCS-VDC3 ( 172.19.1.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MDC-ATCS-VDC3 ( 172.19.1.135 ),Ping,95.2,28 days 13 hours 21 minutes 48 seconds ,4.8,,1 days 10 hours 33 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-VDC1 ( 172.19.1.137 ),Ping,97.82,29 days 8 hours 18 minutes 14 seconds ,2.18,,0 days 15 hours 41 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-ATCS-VDC3 ( 172.19.1.171 ),Ping,99.72,29 days 21 hours 59 minutes 2 seconds ,0.28,,0 days 2 hours 0 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-VDC4 ( 172.19.1.117 ),Ping,86.29,25 days 21 hours 17 minutes 16 seconds ,13.71,,4 days 2 hours 42 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC3 ( 172.19.1.112 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MPC-ATCS-VDC3 ( 172.19.1.131 ),Ping,78.91,23 days 16 hours 2 minutes 58 seconds ,21.09,,6 days 7 hours 49 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC3 ( 172.19.1.160 ),Ping,97.05,29 days 2 hours 40 minutes 45 seconds ,2.95,,0 days 21 hours 14 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC1 ( 172.19.1.122 ),Ping,49.18,14 days 18 hours 5 minutes 45 seconds ,50.82,,15 days 5 hours 54 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC2 ( 172.19.1.111 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-FRC-ATCS-VDC1 ( 172.19.1.154 ),Ping,91.8,27 days 12 hours 50 minutes 27 seconds ,8.2,,2 days 11 hours 1 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC1 ( 172.19.1.150 ),Ping,99.97,29 days 23 hours 42 minutes 13 seconds ,0.03,,0 days 0 hours 12 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC3 ( 172.19.1.178 ),Ping,99.51,29 days 20 hours 28 minutes 18 seconds ,0.49,,0 days 3 hours 31 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-VDC2 ( 172.19.1.163 ),Ping,99.93,29 days 23 hours 21 minutes 58 seconds ,0.07,,0 days 0 hours 30 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-VDC2 ( 172.19.1.115 ),Ping,99.98,29 days 23 hours 51 minutes 21 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC1 ( 172.19.1.145 ),Ping,99.13,29 days 17 hours 39 minutes 22 seconds ,0.87,,0 days 6 hours 15 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-VDC3 ( 172.19.1.164 ),Ping,99.93,29 days 23 hours 21 minutes 58 seconds ,0.07,,0 days 0 hours 30 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC2 ( 172.19.1.146 ),Ping,99.15,29 days 17 hours 52 minutes 47 seconds ,0.85,,0 days 6 hours 7 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC1 ( 172.19.1.118 ),Ping,99.49,29 days 20 hours 11 minutes 55 seconds ,0.51,,0 days 3 hours 40 minutes 17 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-VDC1 ( 172.19.1.129 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,100,,29 days 23 hours 59 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC1 ( 172.19.1.184 ),Ping,89.32,26 days 19 hours 6 minutes 14 seconds ,10.68,,3 days 4 hours 53 minutes 46 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC1 ( 172.19.1.176 ),Ping,99.54,29 days 20 hours 41 minutes 16 seconds ,0.46,,0 days 3 hours 18 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC1 ( 172.19.1.165 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 52 minutes 13 seconds 
BSCL-MMC-ATCS-VDC1 ( 172.19.1.126 ),Ping,26.73,8 days 0 hours 27 minutes 21 seconds ,1.76,,0 days 12 hours 40 minutes 19 seconds ,71.51,21 days 10 hours 52 minutes 19 seconds 
BSCL-RGC-ATCS-VDC4 ( 172.19.1.175 ),Ping,94.63,28 days 9 hours 20 minutes 9 seconds ,5.37,,1 days 14 hours 39 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC5 ( 172.19.1.149 ),Ping,2.81,0 days 20 hours 13 minutes 55 seconds ,97.19,,29 days 3 hours 46 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC2 ( 172.19.1.159 ),Ping,99.76,29 days 22 hours 8 minutes 32 seconds ,0.24,,0 days 1 hours 43 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC3 ( 172.19.1.128 ),Ping,26.73,8 days 0 hours 27 minutes 21 seconds ,1.76,,0 days 12 hours 40 minutes 19 seconds ,71.51,21 days 10 hours 52 minutes 19 seconds 
BSCL-MPC-ATCS-VDC4 ( 172.19.1.132 ),Ping,18.01,5 days 9 hours 40 minutes 19 seconds ,81.99,,24 days 14 hours 19 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC1 ( 172.19.1.133 ),Ping,95.18,28 days 13 hours 13 minutes 10 seconds ,4.82,,1 days 10 hours 42 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-VDC3 ( 172.19.1.139 ),Ping,97.74,29 days 7 hours 36 minutes 3 seconds ,2.26,,0 days 16 hours 16 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC4 ( 172.19.1.136 ),Ping,95.13,28 days 12 hours 48 minutes 45 seconds ,4.87,,1 days 11 hours 3 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC4 ( 172.19.1.109 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-NC-ATCS-VDC4 ( 172.19.1.144 ),Ping,75.29,22 days 13 hours 59 minutes 25 seconds ,24.71,,7 days 9 hours 52 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-VDC2 ( 172.19.1.138 ),Ping,97.72,29 days 7 hours 27 minutes 25 seconds ,2.28,,0 days 16 hours 24 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC2 ( 172.19.1.155 ),Ping,91.83,27 days 13 hours 3 minutes 24 seconds ,8.17,,2 days 10 hours 48 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC2 ( 172.19.1.123 ),Ping,96.38,28 days 21 hours 51 minutes 30 seconds ,3.62,,1 days 2 hours 3 minutes 40 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC2 ( 172.19.1.102 ),Ping,98.73,29 days 14 hours 43 minutes 40 seconds ,1.27,,0 days 9 hours 8 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC3 ( 172.19.1.143 ),Ping,75.27,22 days 13 hours 53 minutes 0 seconds ,24.73,,7 days 10 hours 2 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC4 ( 172.19.1.113 ),Ping,99.95,29 days 23 hours 30 minutes 36 seconds ,0.05,,0 days 0 hours 21 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
