Report Name : PAS,,,,,,,,
Name : PAS,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,81.85,,,
Maintenance (%),,,,,16.15,,,
Down (%),,,,,2,,,
Name : PAS,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-RGC-PA ( 172.21.0.19 ),Ping,94.48,28 days 8 hours 8 minutes 0 seconds ,5.52,,1 days 15 hours 44 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-PA ( 172.21.0.54 ),Ping,94.39,28 days 7 hours 36 minutes 28 seconds ,5.61,,1 days 16 hours 23 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-PA ( 172.21.0.14 ),Ping,99.73,29 days 22 hours 3 minutes 21 seconds ,0.27,,0 days 1 hours 56 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-PA ( 172.21.0.17 ),Ping,99.81,29 days 22 hours 37 minutes 54 seconds ,0.19,,0 days 1 hours 22 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-PA ( 172.21.0.57 ),Ping,99.47,29 days 20 hours 6 minutes 14 seconds ,0.53,,0 days 3 hours 48 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-JMC-PA ( 172.21.0.51 ),Ping,98.58,29 days 13 hours 38 minutes 53 seconds ,1.42,,0 days 10 hours 13 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-PA ( 172.21.0.24 ),Ping,99.98,29 days 23 hours 51 minutes 21 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-PA ( 172.21.0.20 ),Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-PA ( 172.21.0.23 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 52 minutes 13 seconds 
BSCL-DNC-PA ( 172.21.0.56 ),Ping,99.98,29 days 23 hours 46 minutes 22 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-PA ( 172.21.0.53 ),Ping,99.98,29 days 23 hours 43 minutes 34 seconds ,0.02,,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-PA ( 172.21.0.11 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-MMC-PA ( 172.21.0.12 ),Ping,26.72,8 days 0 hours 21 minutes 54 seconds ,1.77,,0 days 12 hours 44 minutes 34 seconds ,71.51,21 days 10 hours 49 minutes 17 seconds 
BSCL-ST-PA ( 172.21.0.21 ),Ping,99.99,29 days 23 hours 55 minutes 40 seconds ,0.01,,0 days 0 hours 4 minutes 19 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-PA ( 172.21.0.58 ),Ping,98.58,29 days 13 hours 38 minutes 52 seconds ,1.42,,0 days 10 hours 13 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-IC-PA ( 172.21.0.59 ),Ping,99.95,29 days 23 hours 30 minutes 36 seconds ,0.05,,0 days 0 hours 21 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ANC-PA ( 172.21.0.55 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-FRC-PA ( 172.21.0.22 ),Ping,91.76,27 days 12 hours 33 minutes 11 seconds ,8.24,,2 days 11 hours 19 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-PA ( 172.21.0.26 ),Ping,88.5,26 days 13 hours 7 minutes 43 seconds ,11.5,,3 days 10 hours 47 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-PA ( 172.21.0.52 ),Ping,98.71,29 days 14 hours 37 minutes 47 seconds ,1.29,,0 days 9 hours 17 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-PA ( 172.21.0.15 ),Ping,95.06,28 days 12 hours 25 minutes 54 seconds ,4.94,,1 days 11 hours 34 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-PA ( 172.21.0.16 ),Ping,97.74,29 days 7 hours 36 minutes 3 seconds ,2.26,,0 days 16 hours 16 minutes 9 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-PA ( 172.21.0.18 ),Ping,99.14,29 days 17 hours 40 minutes 45 seconds ,0.86,,0 days 6 hours 11 minutes 27 seconds ,0,0 days 0 hours 0 minutes 0 seconds
