Report Name : WWD,,,,,,,,,
Name : WWD,,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,,
Monitor,IP Address,Type,Up (%),Up Time,,Down (%),Down Time,Maintenance (%),Maintenance Time
BSCL-GB-WWD-EC1 ( 172.22.3.126 ),172.22.3.126,Ping,99.98,29 days 23 hours 43 minutes 34 seconds ,,0.02,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-EC2 ( 172.22.3.128 ),172.22.3.128,Ping,99.98,29 days 23 hours 43 minutes 34 seconds ,,0.02,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-WWD-EC1 ( 172.22.3.104 ),172.22.3.104,Ping,0,0 days 0 hours 0 minutes 0 seconds,,100,29 days 23 hours 55 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC2 ( 172.22.3.110 ),172.22.3.110,Ping,99.71,29 days 21 hours 46 minutes 57 seconds ,,0.29,0 days 2 hours 5 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-WWD-EC1 ( 172.22.3.101 ),172.22.3.101,Ping,98.69,29 days 14 hours 26 minutes 23 seconds ,,1.31,0 days 9 hours 25 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-WWD-EC1 ( 172.22.3.114 ),172.22.3.114,Ping,99.98,29 days 23 hours 51 minutes 21 seconds ,,0.02,0 days 0 hours 8 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-WWD-EC1 ( 172.22.3.108 ),172.22.3.108,Ping,99.79,29 days 22 hours 24 minutes 18 seconds ,,0.21,0 days 1 hours 30 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : WWD,,,,,,,,,
Time Span: From 15 Apr  2024 12:00:00 AM To 14 May  2024 11:59:59 PM,,,,,,,,,
status,,,,,value,,,,
Up (%),,,,,85.45,,,,
Down (%),,,,,14.55,,,,
