Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 Jun  2024 12:00:00 AM To 14 Jul  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,78.69,,,
Maintenance (%),,,,,16.42,,,
Down (%),,,,,4.9,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 Jun  2024 12:00:00 AM To 14 Jul  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,99.71,29 days 21 hours 50 minutes 9 seconds ,0.29,,0 days 2 hours 5 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,97.56,29 days 6 hours 22 minutes 35 seconds ,2.44,,0 days 17 hours 34 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,99.83,29 days 22 hours 41 minutes 59 seconds ,0.17,,0 days 1 hours 13 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,98.9,29 days 16 hours 4 minutes 47 seconds ,1.1,,0 days 7 hours 55 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,94.87,28 days 10 hours 59 minutes 30 seconds ,5.13,,1 days 12 hours 55 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,97.72,29 days 7 hours 30 minutes 34 seconds ,2.28,,0 days 16 hours 24 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,92.89,27 days 20 hours 44 minutes 25 seconds ,7.11,,2 days 3 hours 11 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.85,29 days 22 hours 55 minutes 11 seconds ,0.15,,0 days 1 hours 4 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,93.58,28 days 1 hours 43 minutes 22 seconds ,6.42,,1 days 22 hours 13 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,96.63,28 days 23 hours 39 minutes 44 seconds ,3.37,,1 days 0 hours 15 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-RLVD-ANPR3 ( 172.22.0.105 ),Ping,91.15,27 days 8 hours 7 minutes 53 seconds ,8.85,,2 days 15 hours 42 minutes 20 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-ANPR3 ( 172.22.0.60 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 14 seconds 
BSCL-MC-RLVD-ANPR7 ( 172.22.0.125 ),Ping,93.52,28 days 1 hours 20 minutes 38 seconds ,6.48,,1 days 22 hours 39 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
