Report Name : ATCS VDC,,,,,,,,
Name : ATCS VDC,,,,,,,,
Time Span: From 15 Jun  2024 12:00:00 AM To 14 Jul  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-DNC-ATCS-VDC3 ( 172.19.1.116 ),Ping,96.08,28 days 19 hours 42 minutes 10 seconds ,3.92,,1 days 4 hours 13 minutes 16 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-VDC4 ( 172.19.1.179 ),Ping,99.85,29 days 22 hours 50 minutes 38 seconds ,0.15,,0 days 1 hours 4 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-VDC1 ( 172.19.1.106 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-DNC-ATCS-VDC1 ( 172.19.1.114 ),Ping,96.09,28 days 19 hours 41 minutes 29 seconds ,3.91,,1 days 4 hours 8 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC1 ( 172.19.1.110 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 28 seconds 
BSCL-VVC-ATCS-VDC2 ( 172.19.1.166 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 14 seconds 
BSCL-ASC-ATCS-VDC1 ( 172.19.1.101 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-GC-ATCS-VDC3 ( 172.19.1.120 ),Ping,99.18,29 days 18 hours 1 minutes 25 seconds ,0.82,,0 days 5 hours 54 minutes 12 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-VDC2 ( 172.19.1.119 ),Ping,99.19,29 days 18 hours 5 minutes 33 seconds ,0.81,,0 days 5 hours 49 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC1 ( 172.19.1.141 ),Ping,98.21,29 days 10 hours 57 minutes 7 seconds ,1.79,,0 days 12 hours 53 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-VDC2 ( 172.19.1.134 ),Ping,86.08,25 days 19 hours 46 minutes 33 seconds ,13.92,,4 days 4 hours 13 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-VDC1 ( 172.19.1.172 ),Ping,92.75,27 days 19 hours 47 minutes 59 seconds ,7.25,,2 days 4 hours 12 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC3 ( 172.19.1.182 ),Ping,92.65,27 days 18 hours 55 minutes 44 seconds ,7.35,,2 days 4 hours 54 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC3 ( 172.19.1.186 ),Ping,95.37,28 days 14 hours 35 minutes 28 seconds ,4.63,,1 days 9 hours 19 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC1 ( 172.19.1.180 ),Ping,92.81,27 days 20 hours 10 minutes 45 seconds ,7.19,,2 days 3 hours 45 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-VDC4 ( 172.19.1.183 ),Ping,92.81,27 days 20 hours 10 minutes 45 seconds ,7.19,,2 days 3 hours 45 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC1 ( 172.19.1.158 ),Ping,98.28,29 days 11 hours 27 minutes 21 seconds ,1.72,,0 days 12 hours 22 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-NC-ATCS-VDC2 ( 172.19.1.142 ),Ping,92.52,27 days 18 hours 5 minutes 29 seconds ,7.48,,2 days 5 hours 51 minutes 6 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-VDC3 ( 172.19.1.156 ),Ping,71.1,21 days 7 hours 51 minutes 57 seconds ,28.9,,8 days 16 hours 3 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC4 ( 172.19.1.125 ),Ping,93.09,27 days 22 hours 14 minutes 52 seconds ,6.91,,2 days 1 hours 45 minutes 7 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-VDC2 ( 172.19.1.151 ),Ping,99.86,29 days 22 hours 55 minutes 9 seconds ,0.14,,0 days 1 hours 0 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-VDC4 ( 172.19.1.104 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 14 seconds 
BSCL-GNC-ATCS-VDC3 ( 172.19.1.124 ),Ping,97.45,29 days 5 hours 33 minutes 56 seconds ,2.55,,0 days 18 hours 21 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-ATCS-VDC3 ( 172.19.1.147 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-SC-ATCS-VDC4 ( 172.19.1.153 ),Ping,99.85,29 days 22 hours 50 minutes 49 seconds ,0.15,,0 days 1 hours 4 minutes 48 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-VDC2 ( 172.19.1.127 ),Ping,97.21,29 days 3 hours 45 minutes 13 seconds ,2.79,,0 days 20 hours 5 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-VDC2 ( 172.19.1.185 ),Ping,95.3,28 days 14 hours 6 minutes 21 seconds ,4.7,,1 days 9 hours 50 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-VDC4 ( 172.19.1.168 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 59 minutes 59 seconds 
BSCL-HC-ATCS-VDC3 ( 172.19.1.108 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 55 minutes 35 seconds 
BSCL-MDC-ATCS-VDC3 ( 172.19.1.135 ),Ping,83.94,25 days 4 hours 18 minutes 14 seconds ,16.06,,4 days 19 hours 37 minutes 11 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-VDC1 ( 172.19.1.137 ),Ping,25.39,7 days 14 hours 48 minutes 29 seconds ,74.61,,22 days 9 hours 11 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMT-ATCS-VDC3 ( 172.19.1.171 ),Ping,97.86,29 days 8 hours 31 minutes 14 seconds ,2.14,,0 days 15 hours 24 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-VDC4 ( 172.19.1.117 ),Ping,96.09,28 days 19 hours 47 minutes 36 seconds ,3.91,,1 days 4 hours 8 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-VDC3 ( 172.19.1.112 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 56 minutes 38 seconds 
BSCL-MPC-ATCS-VDC3 ( 172.19.1.131 ),Ping,92.06,27 days 14 hours 40 minutes 55 seconds ,7.94,,2 days 9 hours 9 minutes 18 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-VDC3 ( 172.19.1.160 ),Ping,98.31,29 days 11 hours 45 minutes 25 seconds ,1.69,,0 days 12 hours 10 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-VDC1 ( 172.19.1.122 ),Ping,97.48,29 days 5 hours 48 minutes 2 seconds ,2.52,,0 days 18 hours 8 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
