Report Name : RLVD EC,,,,,,,,
Name : RLVD EC,,,,,,,,
Time Span: From 15 Jun  2024 12:00:00 AM To 14 Jul  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNC-RLVD-EC3 ( 172.22.2.122 ),Ping,97.35,29 days 4 hours 45 minutes 41 seconds ,2.65,,0 days 19 hours 4 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC2 ( 172.22.2.176 ),Ping,92.94,27 days 21 hours 6 minutes 55 seconds ,7.06,,2 days 2 hours 49 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-RLVD-EC3 ( 172.22.2.174 ),Ping,99.81,29 days 22 hours 33 minutes 33 seconds ,0.19,,0 days 1 hours 22 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-RLVD-EC2 ( 172.22.2.148 ),Ping,94.11,28 days 5 hours 31 minutes 13 seconds ,5.89,,1 days 18 hours 24 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-RLVD-EC3 ( 172.22.2.153 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 14 seconds 
BSCL-MN-RLVD-EC3 ( 172.22.2.183 ),Ping,65.24,19 days 13 hours 40 minutes 41 seconds ,34.76,,10 days 10 hours 14 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-EC3 ( 172.22.2.177 ),Ping,92.91,27 days 20 hours 57 minutes 7 seconds ,7.09,,2 days 3 hours 2 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-RLVD-EC3 ( 172.22.2.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,29 days 23 hours 50 minutes 14 seconds 
BSCL-SC-RLVD-EC2 ( 172.22.2.144 ),Ping,99.8,29 days 22 hours 33 minutes 35 seconds ,0.2,,0 days 1 hours 26 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-RLVD-EC3 ( 172.22.2.169 ),Ping,92.92,27 days 20 hours 57 minutes 22 seconds ,7.08,,2 days 2 hours 58 minutes 15 seconds ,0,0 days 0 hours 0 minutes 0 seconds
