Report Name : ANPR,,,,,,,,
Name : ANPR,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,80.64,,,
Maintenance (%),,,,,12.02,,,
Down (%),,,,,7.34,,,
Name : ANPR -CAMERA,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-SC-RLVD-ANPR5 ( 172.22.0.147 ),Ping,99.32,30 days 18 hours 56 minutes 26 seconds ,0.68,,0 days 5 hours 3 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-RLVD-ANPR1 ( 172.22.0.66 ),Ping,97.69,30 days 6 hours 44 minutes 15 seconds ,2.31,,0 days 17 hours 11 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-OBS-RLVD-ANPR2 ( 172.22.0.136 ),Ping,70.99,22 days 0 hours 9 minutes 55 seconds ,29.01,,8 days 23 hours 50 minutes 4 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-RLVD-ANPR1 ( 172.22.0.83 ),Ping,92.39,28 days 15 hours 19 minutes 2 seconds ,7.61,,2 days 8 hours 36 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-RLVD-ANPR5 ( 172.22.0.115 ),Ping,97.12,30 days 2 hours 34 minutes 21 seconds ,2.88,,0 days 21 hours 25 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-ANPR4 ( 172.22.0.192 ),Ping,99.15,30 days 17 hours 40 minutes 33 seconds ,0.85,,0 days 6 hours 19 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-RLVD-ANPR5 ( 172.22.0.217 ),Ping,96.84,30 days 0 hours 24 minutes 55 seconds ,3.16,,0 days 23 hours 30 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GB-WWD-ANPR2 ( 172.22.3.129 ),Ping,99.19,30 days 17 hours 54 minutes 16 seconds ,0.81,,0 days 6 hours 1 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-RLVD-ANPR1 ( 172.22.0.119 ),Ping,89.73,27 days 19 hours 35 minutes 28 seconds ,10.27,,3 days 4 hours 24 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-AC-ANPR4 ( 172.22.0.234 ),Ping,98.62,30 days 13 hours 43 minutes 57 seconds ,1.38,,0 days 10 hours 16 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
