Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,84.77,,,
Maintenance (%),,,,,9.17,,,
Down (%),,,,,6.06,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,97.89,30 days 8 hours 9 minutes 2 seconds ,2.11,,0 days 15 hours 41 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,98.04,30 days 9 hours 20 minutes 28 seconds ,1.96,,0 days 14 hours 34 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,96.86,30 days 0 hours 38 minutes 17 seconds ,3.14,,0 days 23 hours 21 minutes 42 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,98.8,30 days 14 hours 55 minutes 40 seconds ,1.2,,0 days 8 hours 55 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,98.04,30 days 9 hours 20 minutes 28 seconds ,1.96,,0 days 14 hours 34 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,83.91,26 days 0 hours 17 minutes 25 seconds ,16.09,,4 days 23 hours 42 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,86.17,26 days 17 hours 6 minutes 16 seconds ,12.02,,3 days 17 hours 25 minutes 44 seconds ,1.81,0 days 13 hours 27 minutes 59 seconds 
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,89.33,27 days 16 hours 36 minutes 54 seconds ,10.67,,3 days 7 hours 23 minutes 5 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,89.72,27 days 19 hours 26 minutes 49 seconds ,10.28,,3 days 4 hours 28 minutes 31 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,85.95,26 days 15 hours 28 minutes 4 seconds ,14.05,,4 days 8 hours 31 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.53,30 days 20 hours 25 minutes 32 seconds ,0.47,,0 days 3 hours 29 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,96.19,29 days 19 hours 34 minutes 43 seconds ,3.81,,1 days 4 hours 20 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 59 minutes 59 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,67.61,20 days 23 hours 1 minutes 6 seconds ,32.39,,10 days 0 hours 58 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,99.34,30 days 19 hours 1 minutes 14 seconds ,0.66,,0 days 4 hours 54 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,99.57,30 days 20 hours 48 minutes 2 seconds ,0.43,,0 days 3 hours 11 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,30 days 23 hours 55 minutes 32 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,98.31,30 days 11 hours 25 minutes 34 seconds ,1.69,,0 days 12 hours 34 minutes 25 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,98.67,30 days 14 hours 6 minutes 16 seconds ,1.33,,0 days 9 hours 53 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,92.85,28 days 18 hours 43 minutes 58 seconds ,7.15,,2 days 5 hours 11 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,97.31,30 days 3 hours 59 minutes 10 seconds ,2.69,,0 days 20 hours 0 minutes 49 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,90.76,28 days 3 hours 15 minutes 15 seconds ,9.24,,2 days 20 hours 44 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
