Report Name : CCTV Surveillance,,,,,,,,
Name : CCTV,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,76.64,,,
Maintenance (%),,,,,18.04,,,
Down (%),,,,,5.32,,,
Name : CCTV,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-MC-FIX1 ( 172.18.1.156 ),SNMP Device,89.79,27 days 20 hours 2 minutes 15 seconds ,10.21,,3 days 3 hours 57 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-FIX2 ( 172.18.1.170 ),SNMP Device,98.86,30 days 15 hours 31 minutes 5 seconds ,1.14,,0 days 8 hours 28 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-FIX3 ( 172.18.1.150 ),SNMP Device,54.4,16 days 20 hours 44 minutes 9 seconds ,45.6,,14 days 3 hours 15 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BBC-FIX3 ( 172.18.1.110 ),SNMP Device,96.97,30 days 1 hours 27 minutes 24 seconds ,3.03,,0 days 22 hours 32 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-FIX1 ( 172.18.1.116 ),SNMP Device,95,29 days 10 hours 47 minutes 59 seconds ,5,,1 days 13 hours 12 minutes 0 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-FIX4 ( 172.18.1.104 ),SNMP Device,86.37,26 days 18 hours 35 minutes 33 seconds ,11.82,,3 days 15 hours 56 minutes 27 seconds ,1.81,0 days 13 hours 27 minutes 59 seconds 
BSCL-TBAC-FIX3 ( 172.18.1.220 ),SNMP Device,84.58,26 days 5 hours 16 minutes 30 seconds ,13.61,,4 days 5 hours 15 minutes 30 seconds ,1.81,0 days 13 hours 27 minutes 59 seconds 
BSCL-BC-FIX1 ( 172.18.1.105 ),SNMP Device,93.86,29 days 2 hours 19 minutes 5 seconds ,6.14,,1 days 21 hours 40 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MM-FIX1 ( 172.18.1.191 ),SNMP Device,99.27,30 days 18 hours 34 minutes 7 seconds ,0.73,,0 days 5 hours 25 minutes 52 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC_City Operation Room2 ( 172.16.5.143 ),SNMP Device,99.7,30 days 21 hours 46 minutes 4 seconds ,0.3,,0 days 2 hours 13 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
