Report Name : IP PHONES,,,,,,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.86,,,
Down (%),,,,,0.14,,,
Name : IP PHONES,,,,,,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
172.16.7.80,Ping,99.74,30 days 21 hours 59 minutes 29 seconds ,0.26,,0 days 1 hours 56 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.74,Ping,99.17,30 days 17 hours 45 minutes 4 seconds ,0.83,,0 days 6 hours 10 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.63,Ping,99.4,30 days 19 hours 32 minutes 9 seconds ,0.6,,0 days 4 hours 27 minutes 50 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.56,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.78,Ping,99.79,30 days 22 hours 26 minutes 15 seconds ,0.21,,0 days 1 hours 33 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.69,Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.81,Ping,100,30 days 23 hours 55 minutes 2 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.83,Ping,100,30 days 23 hours 55 minutes 2 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.58,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.55,Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.52,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.75,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.66,Ping,98.93,30 days 16 hours 2 minutes 20 seconds ,1.07,,0 days 7 hours 57 minutes 39 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.72,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.60,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.85,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.70,Ping,99.79,30 days 22 hours 21 minutes 48 seconds ,0.21,,0 days 1 hours 33 minutes 44 seconds ,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.57,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.53,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.84,Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.79,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.67,Ping,100,30 days 23 hours 59 minutes 59 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
172.16.7.65,Ping,100,30 days 23 hours 55 minutes 32 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
