Report Name : Responce  Time,,,
Name : Application performance Response Time,,,
Time Span: From 15 Aug  2024 12:00:00 AM To 14 Sep  2024 11:59:59 PM,,,
Monitor,Type,RTT (ms),Event Time
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,335,"14 Sep, 2024 11:59:50 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,45,"14 Sep, 2024 11:59:50 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,199,"14 Sep, 2024 11:59:40 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,9,"14 Sep, 2024 11:58:40 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,858,"14 Sep, 2024 11:57:11 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,3056,"14 Sep, 2024 11:57:11 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,108,"14 Sep, 2024 11:56:10 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,301,"14 Sep, 2024 11:55:51 PM"
ICCC-APPLICATION ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,346,"14 Sep, 2024 11:55:51 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,770,"14 Sep, 2024 11:55:51 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,393,"14 Sep, 2024 11:55:01 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,125,"14 Sep, 2024 11:55:00 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,282,"14 Sep, 2024 11:54:50 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,34,"14 Sep, 2024 11:54:50 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,391,"14 Sep, 2024 11:54:40 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,16,"14 Sep, 2024 11:53:40 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,2624,"14 Sep, 2024 11:52:11 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,2268,"14 Sep, 2024 11:52:11 PM"
Contact Center ( https://172.16.4.180/ccmadmin/showHome.do ),HTTP/HTTPS URL,153,"14 Sep, 2024 11:51:11 PM"
VMS Application ( https://172.16.0.25/#!/ ),HTTP/HTTPS URL,313,"14 Sep, 2024 11:50:51 PM"
ANPR Application ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,407,"14 Sep, 2024 11:50:51 PM"
ICCC-APPLICATION ( http://172.16.0.28:8080/ANPR/login - 172.16.0.28 ),HTTP/HTTPS URL,492,"14 Sep, 2024 11:50:50 PM"
iBMS Application ( http://172.16.3.12/SecurityView/Login.aspx ),HTTP/HTTPS URL,404,"14 Sep, 2024 11:50:01 PM"
SIEM ( https://172.16.1.200/login ),HTTP/HTTPS URL,221,"14 Sep, 2024 11:50:00 PM"
VCenter ( https://172.16.4.100/ui ),HTTP/HTTPS URL,16,"14 Sep, 2024 11:49:50 PM"
TES Application ( http://172.16.0.29:8080/eTmcsWeb/Home ),HTTP/HTTPS URL,417,"14 Sep, 2024 11:49:50 PM"
ATCS Application ( http://172.16.0.11/gui/html/ - 172.16.0.11 ),HTTP/HTTPS URL,274,"14 Sep, 2024 11:49:40 PM"
Smart pole Application ( http://172.16.0.209:8000/login ),HTTP/HTTPS URL,10,"14 Sep, 2024 11:48:40 PM"
ISE-NAC ( https://172.16.4.120/admin/login.jsp ),HTTP/HTTPS URL,3014,"14 Sep, 2024 11:47:11 PM"
PAM - Privelage Access Management ( https://172.16.4.242 ),HTTP/HTTPS URL,1275,"14 Sep, 2024 11:47:11 PM"
